context: You look really good! response:	Thank you, Kero-chan
context: You look really good!\Thank you, Kero-chan response:	But, Kinomoto-Sakura,
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura, response:	without that kimono you look completely different.
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different. response:	What do you mean!?
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!? response:	Alright alright, just joking.
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!?\Alright alright, just joking. response:	Fine,
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!?\Alright alright, just joking.\Fine, response:	then I'll just tell daddy not to buy any food for you to eat then.
context: You look really good!\Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!?\Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then. response:	Now that's too much!
context: Thank you, Kero-chan\But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!?\Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much! response:	Your kidding right?
context: But, Kinomoto-Sakura,\without that kimono you look completely different.\What do you mean!?\Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right? response:	I was just saying that you look so cute!
context: without that kimono you look completely different.\What do you mean!?\Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right?\I was just saying that you look so cute! response:	Your dress is really cute too. You really are a hundred times cute!
context: What do you mean!?\Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right?\I was just saying that you look so cute!\Your dress is really cute too. You really are a hundred times cute! response:	So will you forgive me? Dear and sweet Sakura!
context: Alright alright, just joking.\Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right?\I was just saying that you look so cute!\Your dress is really cute too. You really are a hundred times cute!\So will you forgive me? Dear and sweet Sakura! response:	It really looks good?
context: Fine,\then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right?\I was just saying that you look so cute!\Your dress is really cute too. You really are a hundred times cute!\So will you forgive me? Dear and sweet Sakura!\It really looks good? response:	I'd dare to say'
context: then I'll just tell daddy not to buy any food for you to eat then.\Now that's too much!\Your kidding right?\I was just saying that you look so cute!\Your dress is really cute too. You really are a hundred times cute!\So will you forgive me? Dear and sweet Sakura!\It really looks good?\I'd dare to say' response:	Yes, nothing is
