context: We have an update on the Neo Hundred, response:	who are believed to be behind the destruction of
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of response:	Kasumigaseki earlier this morning.
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning. response:	Following the destruction of the Ministry of Defense,
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense, response:	they seem to have taken no further action.
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action. response:	Meanwhile, reports continue nationwide of unexplained incidents
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents response:	such as merchandise vanishing in front of eye witnesses,
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses, response:	and women being molested on trains and streets.
context: We have an update on the Neo Hundred,\who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets. response:	It remains unclear whether these events are also related to the Neo Hundred.
context: who are believed to be behind the destruction of\Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred. response:	Next, we...
context: Kasumigaseki earlier this morning.\Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we... response:	What a waste!
context: Following the destruction of the Ministry of Defense,\they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste! response:	This is a revolution.
context: they seem to have taken no further action.\Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste!\This is a revolution. response:	What're you all doing?
context: Meanwhile, reports continue nationwide of unexplained incidents\such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste!\This is a revolution.\What're you all doing? response:	There are still government buildings left standing.
context: such as merchandise vanishing in front of eye witnesses,\and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste!\This is a revolution.\What're you all doing?\There are still government buildings left standing. response:	Who are you?
context: and women being molested on trains and streets.\It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste!\This is a revolution.\What're you all doing?\There are still government buildings left standing.\Who are you? response:	Are you Future GALAX-san?
context: It remains unclear whether these events are also related to the Neo Hundred.\Next, we...\What a waste!\This is a revolution.\What're you all doing?\There are still government buildings left standing.\Who are you?\Are you Future GALAX-san? response:	No one's really listening to you, though.
context: Next, we...\What a waste!\This is a revolution.\What're you all doing?\There are still government buildings left standing.\Who are you?\Are you Future GALAX-san?\No one's really listening to you, though. response:	Everyone has things they'd rather do.
context: What a waste!\This is a revolution.\What're you all doing?\There are still government buildings left standing.\Who are you?\Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do. response:	Damn it...
context: This is a revolution.\What're you all doing?\There are still government buildings left standing.\Who are you?\Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it... response:	I wanna do... Oh, abduct a celebrity!
