context: What's going on? response:	W-Who are you?!
context: What's going on?\W-Who are you?! response:	Sekirei number 02. The name is Matsu.
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu. response:	Se-Sekirei?
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei? response:	Now my life is blooming then falling
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling response:	I grab destiny tight
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight response:	There's no more hesitation anymore
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore response:	Tying our bond
context: What's going on?\W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond response:	To the sky waiting for the dawn
context: W-Who are you?!\Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn response:	Holding you, my love, tightly
context: Sekirei number 02. The name is Matsu.\Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly response:	I present an unbreakable prayer
context: Se-Sekirei?\Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer response:	We all are still in the darkness
context: Now my life is blooming then falling\I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness response:	Right now I just
context: I grab destiny tight\There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just response:	Want to touch you deep in your heart
context: There's no more hesitation anymore\Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart response:	And give you all of my overflowing passion
context: Tying our bond\To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion response:	I spread out my wings
context: To the sky waiting for the dawn\Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings response:	Toward the future of our dreams
context: Holding you, my love, tightly\I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams response:	On them are engraved
context: I present an unbreakable prayer\We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved response:	The feeling you gave me that day
