context: See ya. response:	S-See you later?
context: See ya.\S-See you later? response:	I thought it was pretty.
context: See ya.\S-See you later?\I thought it was pretty. response:	Huh?
context: See ya.\S-See you later?\I thought it was pretty.\Huh? response:	This fish has scales I've never seen before.
context: See ya.\S-See you later?\I thought it was pretty.\Huh?\This fish has scales I've never seen before. response:	Fish?
context: See ya.\S-See you later?\I thought it was pretty.\Huh?\This fish has scales I've never seen before.\Fish? response:	And you...
context: See ya.\S-See you later?\I thought it was pretty.\Huh?\This fish has scales I've never seen before.\Fish?\And you... response:	This sake is rather weak.
context: See ya.\S-See you later?\I thought it was pretty.\Huh?\This fish has scales I've never seen before.\Fish?\And you...\This sake is rather weak. response:	Must be dog piss.
context: S-See you later?\I thought it was pretty.\Huh?\This fish has scales I've never seen before.\Fish?\And you...\This sake is rather weak.\Must be dog piss. response:	Perfect timing.
context: I thought it was pretty.\Huh?\This fish has scales I've never seen before.\Fish?\And you...\This sake is rather weak.\Must be dog piss.\Perfect timing. response:	My side dish to go with my sake is here.
context: Huh?\This fish has scales I've never seen before.\Fish?\And you...\This sake is rather weak.\Must be dog piss.\Perfect timing.\My side dish to go with my sake is here. response:	Um...
context: This fish has scales I've never seen before.\Fish?\And you...\This sake is rather weak.\Must be dog piss.\Perfect timing.\My side dish to go with my sake is here.\Um... response:	What is it?
context: Fish?\And you...\This sake is rather weak.\Must be dog piss.\Perfect timing.\My side dish to go with my sake is here.\Um...\What is it? response:	Take that!
context: And you...\This sake is rather weak.\Must be dog piss.\Perfect timing.\My side dish to go with my sake is here.\Um...\What is it?\Take that! response:	Take that, and that, and that, and that...
context: This sake is rather weak.\Must be dog piss.\Perfect timing.\My side dish to go with my sake is here.\Um...\What is it?\Take that!\Take that, and that, and that, and that... response:	This isn't the taste of Mukaido's granny's cooking.
context: Must be dog piss.\Perfect timing.\My side dish to go with my sake is here.\Um...\What is it?\Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking. response:	I-I made it.
context: Perfect timing.\My side dish to go with my sake is here.\Um...\What is it?\Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it. response:	Oh?
context: My side dish to go with my sake is here.\Um...\What is it?\Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh? response:	I did something rather rude to you...
context: Um...\What is it?\Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh?\I did something rather rude to you... response:	and wasted some food on top of that.
context: What is it?\Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh?\I did something rather rude to you...\and wasted some food on top of that. response:	Are you... going to curse me?
context: Take that!\Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh?\I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me? response:	Episode 2: The Chilly Desert
context: Take that, and that, and that, and that...\This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh?\I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert response:	Good morning!
context: This isn't the taste of Mukaido's granny's cooking.\I-I made it.\Oh?\I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning! response:	U-Um...
context: I-I made it.\Oh?\I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning!\U-Um... response:	Th-Thank you for yesterday.
context: Oh?\I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning!\U-Um...\Th-Thank you for yesterday. response:	How are you feeling?
context: I did something rather rude to you...\and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning!\U-Um...\Th-Thank you for yesterday.\How are you feeling? response:	Y-Yes, I couldn't be better.
context: and wasted some food on top of that.\Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning!\U-Um...\Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better. response:	How's he doing?
context: Are you... going to curse me?\Episode 2: The Chilly Desert\Good morning!\U-Um...\Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better.\How's he doing? response:	He?
context: Episode 2: The Chilly Desert\Good morning!\U-Um...\Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better.\How's he doing?\He? response:	U-Um,
context: Good morning!\U-Um...\Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better.\How's he doing?\He?\U-Um, response:	I'm doing well.
context: U-Um...\Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better.\How's he doing?\He?\U-Um,\I'm doing well. response:	I-I mean...
context: Th-Thank you for yesterday.\How are you feeling?\Y-Yes, I couldn't be better.\How's he doing?\He?\U-Um,\I'm doing well.\I-I mean... response:	Thanks for taking care of Manaka yesterday.
context: How are you feeling?\Y-Yes, I couldn't be better.\How's he doing?\He?\U-Um,\I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday. response:	Hii-kun?
context: Y-Yes, I couldn't be better.\How's he doing?\He?\U-Um,\I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun? response:	I'll tell you right now.
context: How's he doing?\He?\U-Um,\I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now. response:	Surface people have no business concerning themselves with the Village of the Sea...
context: He?\U-Um,\I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea... response:	Um... Jeez...
context: U-Um,\I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez... response:	Hii-kun!
context: I'm doing well.\I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun! response:	Hii-kun! That was really rude!
context: I-I mean...\Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun!\Hii-kun! That was really rude! response:	Seriously?
context: Thanks for taking care of Manaka yesterday.\Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun!\Hii-kun! That was really rude!\Seriously? response:	I heard about it! You had a rough time because of him, right?
context: Hii-kun?\I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun!\Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right? response:	What? That's not true.
