context: Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	All hands, level-one battle stations!
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\All hands, level-one battle stations! response:	Love Drifts Away
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\All hands, level-one battle stations!\Love Drifts Away response:	Yes, sir!
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\All hands, level-one battle stations!\Love Drifts Away\Yes, sir! response:	All hands, level-one battle stations!
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\All hands, level-one battle stations!\Love Drifts Away\Yes, sir!\All hands, level-one battle stations! response:	We'll go to the bridge. This way, please.
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\All hands, level-one battle stations!\Love Drifts Away\Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please. response:	I repeat, all hands, level-one battle stations!
context: Macross! Macross!\Macross!\All hands, level-one battle stations!\Love Drifts Away\Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations! response:	Very well.
context: Macross!\All hands, level-one battle stations!\Love Drifts Away\Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well. response:	Shall we go, Milia?
context: All hands, level-one battle stations!\Love Drifts Away\Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia? response:	Of course, Max.
context: Love Drifts Away\Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia?\Of course, Max. response:	We'll be going now, Sempai.
context: Yes, sir!\All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai. response:	Don't get yourselves killed!
context: All hands, level-one battle stations!\We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed! response:	Understood. Let's go, Milia!
context: We'll go to the bridge. This way, please.\I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia! response:	Wait for me, Max!
context: I repeat, all hands, level-one battle stations!\Very well.\Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max! response:	Minmay...
context: Very well.\Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max!\Minmay... response:	Hikaru!
context: Shall we go, Milia?\Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max!\Minmay...\Hikaru! response:	I may never see you again, so I'll just say it.
context: Of course, Max.\We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max!\Minmay...\Hikaru!\I may never see you again, so I'll just say it. response:	What?!
context: We'll be going now, Sempai.\Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max!\Minmay...\Hikaru!\I may never see you again, so I'll just say it.\What?! response:	It's so sudden...
context: Don't get yourselves killed!\Understood. Let's go, Milia!\Wait for me, Max!\Minmay...\Hikaru!\I may never see you again, so I'll just say it.\What?!\It's so sudden... response:	Be happy with Kaifun.
context: Understood. Let's go, Milia!\Wait for me, Max!\Minmay...\Hikaru!\I may never see you again, so I'll just say it.\What?!\It's so sudden...\Be happy with Kaifun. response:	Hikaru!
context: Wait for me, Max!\Minmay...\Hikaru!\I may never see you again, so I'll just say it.\What?!\It's so sudden...\Be happy with Kaifun.\Hikaru! response:	Where are you going?
context: Minmay...\Hikaru!\I may never see you again, so I'll just say it.\What?!\It's so sudden...\Be happy with Kaifun.\Hikaru!\Where are you going? response:	Please let me go!
context: Hikaru!\I may never see you again, so I'll just say it.\What?!\It's so sudden...\Be happy with Kaifun.\Hikaru!\Where are you going?\Please let me go! response:	Minmay!
context: I may never see you again, so I'll just say it.\What?!\It's so sudden...\Be happy with Kaifun.\Hikaru!\Where are you going?\Please let me go!\Minmay! response:	Work teams, switch payloads to reaction warheads on the double!
context: What?!\It's so sudden...\Be happy with Kaifun.\Hikaru!\Where are you going?\Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double! response:	4th Tomahawk Battery, remain on standby once the Sentinels deploy.
context: It's so sudden...\Be happy with Kaifun.\Hikaru!\Where are you going?\Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy. response:	Squad, move out!
context: Be happy with Kaifun.\Hikaru!\Where are you going?\Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out! response:	Monster-01, stand by for launch!
context: Hikaru!\Where are you going?\Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch! response:	Reactor output climbing.
context: Where are you going?\Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing. response:	Balancers normal.
context: Please let me go!\Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal. response:	All systems green!
context: Minmay!\Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal.\All systems green! response:	Launch!
context: Work teams, switch payloads to reaction warheads on the double!\4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal.\All systems green!\Launch! response:	Launch!
context: 4th Tomahawk Battery, remain on standby once the Sentinels deploy.\Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal.\All systems green!\Launch!\Launch! response:	How is the changeover to reaction warheads progressing?
context: Squad, move out!\Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal.\All systems green!\Launch!\Launch!\How is the changeover to reaction warheads progressing? response:	We're currently at 70.
context: Monster-01, stand by for launch!\Reactor output climbing.\Balancers normal.\All systems green!\Launch!\Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70. response:	And on your end?
context: Reactor output climbing.\Balancers normal.\All systems green!\Launch!\Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end? response:	About 20 of the Valkyries still need to be loaded out.
context: Balancers normal.\All systems green!\Launch!\Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out. response:	Have them work faster!
context: All systems green!\Launch!\Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster! response:	Roger!
context: Launch!\Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger! response:	Reaction weaponry, eh?
context: Launch!\How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger!\Reaction weaponry, eh? response:	I always thought that we'd be using our reaction weapons against your fleet.
context: How is the changeover to reaction warheads progressing?\We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet. response:	But not like this.
context: We're currently at 70.\And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this. response:	Ironic indeed, yes?
context: And on your end?\About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes? response:	De-fold signatures are increasing.
context: About 20 of the Valkyries still need to be loaded out.\Have them work faster!\Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes?\De-fold signatures are increasing. response:	Hurry up and get everybody into the maintenance block!
context: Have them work faster!\Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block! response:	The gravity controller is at level 8.9.
context: Roger!\Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9. response:	Station Liberty reports that...
context: Reaction weaponry, eh?\I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that... response:	The enemy fleet is now over four million ships!
context: I always thought that we'd be using our reaction weapons against your fleet.\But not like this.\Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships! response:	The Grand Cannon will reach critical in 300 seconds.
context: But not like this.\Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds. response:	Silos 7 and 9 are now open!
context: Ironic indeed, yes?\De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds.\Silos 7 and 9 are now open! response:	A fleet of four million ships?
context: De-fold signatures are increasing.\Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds.\Silos 7 and 9 are now open!\A fleet of four million ships? response:	Can we really beat them with the Grand Cannon?
context: Hurry up and get everybody into the maintenance block!\The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds.\Silos 7 and 9 are now open!\A fleet of four million ships?\Can we really beat them with the Grand Cannon? response:	Are we able to communicate with the enemy fleet yet?
context: The gravity controller is at level 8.9.\Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds.\Silos 7 and 9 are now open!\A fleet of four million ships?\Can we really beat them with the Grand Cannon?\Are we able to communicate with the enemy fleet yet? response:	I've tried several times, but there's still no response.
context: Station Liberty reports that...\The enemy fleet is now over four million ships!\The Grand Cannon will reach critical in 300 seconds.\Silos 7 and 9 are now open!\A fleet of four million ships?\Can we really beat them with the Grand Cannon?\Are we able to communicate with the enemy fleet yet?\I've tried several times, but there's still no response. response:	So we have no choice but to fight.
