context: What's that? response:	A tatami?
context: What's that?\A tatami? response:	Isn't that Ayase Chihaya?
context: What's that?\A tatami?\Isn't that Ayase Chihaya? response:	Ayase?
context: What's that?\A tatami?\Isn't that Ayase Chihaya?\Ayase? response:	You know?
context: What's that?\A tatami?\Isn't that Ayase Chihaya?\Ayase?\You know? response:	The one who was putting up that karuta club poster.
context: What's that?\A tatami?\Isn't that Ayase Chihaya?\Ayase?\You know?\The one who was putting up that karuta club poster. response:	Oh, Beauty in vain.
context: What's that?\A tatami?\Isn't that Ayase Chihaya?\Ayase?\You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain. response:	Isn't that Mashima from Class 1 with her?
context: What's that?\A tatami?\Isn't that Ayase Chihaya?\Ayase?\You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her? response:	Mashima, as in the one who had
context: A tatami?\Isn't that Ayase Chihaya?\Ayase?\You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had response:	the top score in our grade on the last test?
context: Isn't that Ayase Chihaya?\Ayase?\You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test? response:	Huh? A karuta club?
context: Ayase?\You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club? response:	When they're both so famous...
context: You know?\The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous... response:	All in vain...
context: The one who was putting up that karuta club poster.\Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous...\All in vain... response:	Club in vain...
context: Oh, Beauty in vain.\Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous...\All in vain...\Club in vain... response:	Chihaya, we're attracting too much attention.
context: Isn't that Mashima from Class 1 with her?\Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous...\All in vain...\Club in vain...\Chihaya, we're attracting too much attention. response:	Hey, where's Oe-san?
context: Mashima, as in the one who had\the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous...\All in vain...\Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san? response:	She was here a moment ago...
context: the top score in our grade on the last test?\Huh? A karuta club?\When they're both so famous...\All in vain...\Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago... response:	Is she skipping practice again?
context: Huh? A karuta club?\When they're both so famous...\All in vain...\Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again? response:	The captain will have a fit.
context: When they're both so famous...\All in vain...\Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again?\The captain will have a fit. response:	So spring ends and summer comes
context: All in vain...\Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes response:	now white robes hang to dry on Mount Amanokagu
