context: Interviews with Monster Girls response:	Oh, you're awake.
context: Interviews with Monster Girls\Oh, you're awake. response:	Good morning...
context: Interviews with Monster Girls\Oh, you're awake.\Good morning... response:	Sorry. Did I wake you up?
context: Interviews with Monster Girls\Oh, you're awake.\Good morning...\Sorry. Did I wake you up? response:	Demi-chans Want to Swim
context: Interviews with Monster Girls\Oh, you're awake.\Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim response:	No, it's fine... Did you need something?
context: Interviews with Monster Girls\Oh, you're awake.\Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something? response:	Yeah! I have a question!
context: Interviews with Monster Girls\Oh, you're awake.\Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question! response:	Wow, your eyes really do shine.
context: Interviews with Monster Girls\Oh, you're awake.\Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine. response:	Would this be why vampires can see so well at night?
context: Oh, you're awake.\Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night? response:	Yeah, it's the same as for nocturnal animals.
context: Good morning...\Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals. response:	Nocturnal animals have a mirror-like layer at the back of their eyes.
context: Sorry. Did I wake you up?\Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes. response:	That layer reflects the light that enters through the retina,
context: Demi-chans Want to Swim\No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina, response:	allowing them to see clearly, even in the faintest light.
context: No, it's fine... Did you need something?\Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light. response:	Oh! So that glow you always see in pictures of them...
context: Yeah! I have a question!\Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them... response:	Their eyes are reflecting the light that humans shine on them.
context: Wow, your eyes really do shine.\Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them. response:	Wow, that's so cool!
context: Would this be why vampires can see so well at night?\Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool! response:	Vampires probably see well at night for the same reason.
