context: Doctor! Doctor Koike! response:	How are you feeling?
context: Doctor! Doctor Koike!\How are you feeling? response:	Ayumi...
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi... response:	Where is she?
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi...\Where is she? response:	I'm terribly sorry, but she passed away...
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi...\Where is she?\I'm terribly sorry, but she passed away... response:	I'm Detective Someda.
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi...\Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda. response:	I'm terribly sorry for your loss...
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi...\Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss... response:	We are trying to figure out what truly happened.
context: Doctor! Doctor Koike!\How are you feeling?\Ayumi...\Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened. response:	I heard that you were at the scene...
context: How are you feeling?\Ayumi...\Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene... response:	Are you all right?
context: Ayumi...\Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right? response:	I'm sure it's rough on you being so sudden.
context: Where is she?\I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden. response:	But for her sake, you have to keep looking forward, okay?
context: I'm terribly sorry, but she passed away...\I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay? response:	Time can heal many wounds in this world.
context: I'm Detective Someda.\I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world. response:	Though it won't heal everything.
context: I'm terribly sorry for your loss...\We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything. response:	Hey...
context: We are trying to figure out what truly happened.\I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything.\Hey... response:	did I...
context: I heard that you were at the scene...\Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything.\Hey...\did I... response:	do even one thing for her...
context: Are you all right?\I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything.\Hey...\did I...\do even one thing for her... response:	Was I able...
