context: It was a cliff. response:	A cliff?
context: It was a cliff.\A cliff? response:	It wasn't a height that we could jump from.
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from. response:	Sister wasn't lying,
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying, response:	and the demons didn't underestimate us.
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us. response:	With that cliff, security wouldn't be necessary.
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary. response:	So that means we can't escape from the wall?
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall? response:	Well...
context: It was a cliff.\A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well... response:	there is a way.
context: A cliff?\It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well...\there is a way. response:	So I tried going to the edge of the wall.
context: It wasn't a height that we could jump from.\Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well...\there is a way.\So I tried going to the edge of the wall. response:	It split into two more walls.
context: Sister wasn't lying,\and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well...\there is a way.\So I tried going to the edge of the wall.\It split into two more walls. response:	One side continued along the cliff.
context: and the demons didn't underestimate us.\With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well...\there is a way.\So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff. response:	The other wall was the side of our House.
context: With that cliff, security wouldn't be necessary.\So that means we can't escape from the wall?\Well...\there is a way.\So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House. response:	The angles were about 60 degrees each.
context: So that means we can't escape from the wall?\Well...\there is a way.\So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each. response:	The inside of the two walls, where it splits, were nearly symmetrical.
context: Well...\there is a way.\So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical. response:	I saw the same scenery in front of me.
context: there is a way.\So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me. response:	It means this Grace Field House is on a hexagonal property surrounded by a cliff.
context: So I tried going to the edge of the wall.\It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff. response:	And the lot west from our Plant Three is probably the headquarters.
context: It split into two more walls.\One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters. response:	That lot was the only one with a bridge.
context: One side continued along the cliff.\The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge. response:	If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.
context: The other wall was the side of our House.\The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape. response:	Norman!
context: The angles were about 60 degrees each.\The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman! response:	Mom is calling you.
context: The inside of the two walls, where it splits, were nearly symmetrical.\I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you. response:	- Tell her that I'll be right there. - Okay!
context: I saw the same scenery in front of me.\It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay! response:	Well, I should get going.
context: It means this Grace Field House is on a hexagonal property surrounded by a cliff.\And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going. response:	W-Wait a minute!
context: And the lot west from our Plant Three is probably the headquarters.\That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute! response:	Norman!
context: That lot was the only one with a bridge.\If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute!\Norman! response:	I'll give this back.
context: If we're surrounded by cliffs, then crossing the bridge will be the only way to escape.\Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute!\Norman!\I'll give this back. response:	I didn't use it.
context: Norman!\Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute!\Norman!\I'll give this back.\I didn't use it. response:	You...
context: Mom is calling you.\- Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute!\Norman!\I'll give this back.\I didn't use it.\You... response:	So you were planning to return from the start, huh?
context: - Tell her that I'll be right there. - Okay!\Well, I should get going.\W-Wait a minute!\Norman!\I'll give this back.\I didn't use it.\You...\So you were planning to return from the start, huh? response:	You said so yourself, right? That we'll stay alive together!
context: Well, I should get going.\W-Wait a minute!\Norman!\I'll give this back.\I didn't use it.\You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together! response:	But you were already planning to...
context: W-Wait a minute!\Norman!\I'll give this back.\I didn't use it.\You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to... response:	Yeah. Sorry, I lied.
context: Norman!\I'll give this back.\I didn't use it.\You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied. response:	I can't afford to make a mistake.
context: I'll give this back.\I didn't use it.\You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake. response:	Because I can't let anyone die.
context: I didn't use it.\You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die. response:	If I run away, the plan will deviate.
context: You...\So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate. response:	If it deviates even a little, it'll be problematic.
context: So you were planning to return from the start, huh?\You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic. response:	I don't even want a chance of losing.
