context: Signs response:	Are you looking for something, Ivica?
context: Signs\Are you looking for something, Ivica? response:	Is that all you have to say after making me wait for you, Blanc?
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc? response:	Sorry.
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry. response:	The government is still trying to haggle with us.
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us. response:	They're afraid of us foreigners.
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners. response:	We're just a private company.
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company. response:	But this is terrible.
context: Signs\Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company.\But this is terrible. response:	The sites have always looked like this.
context: Are you looking for something, Ivica?\Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company.\But this is terrible.\The sites have always looked like this. response:	It's the fate of the survivors.
context: Is that all you have to say after making me wait for you, Blanc?\Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company.\But this is terrible.\The sites have always looked like this.\It's the fate of the survivors. response:	Are you waiting for the girl with turquoise hair to return?
context: Sorry.\The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company.\But this is terrible.\The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return? response:	Who else could stop this tragedy?
context: The government is still trying to haggle with us.\They're afraid of us foreigners.\We're just a private company.\But this is terrible.\The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy? response:	It's pointless to count the dead in this city.
context: They're afraid of us foreigners.\We're just a private company.\But this is terrible.\The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city. response:	That's exactly why we
context: We're just a private company.\But this is terrible.\The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we response:	Why the hell are they flying so low?!
context: But this is terrible.\The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?! response:	They're going to be in trouble when we get back.
context: The sites have always looked like this.\It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back. response:	Anyway, let's go. We have our own duties to take care of.
context: It's the fate of the survivors.\Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of. response:	That's true. We don't have time to wait.
context: Are you waiting for the girl with turquoise hair to return?\Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait. response:	Still, it's human nature to keep waiting...
context: Who else could stop this tragedy?\It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting... response:	Waiting for the dove to return with a branch of hope in its beak.
context: It's pointless to count the dead in this city.\That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak. response:	I had a weird dream.
context: That's exactly why we\Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream. response:	It felt like the world was going to change!
context: Why the hell are they flying so low?!\They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change! response:	Change? How?
context: They're going to be in trouble when we get back.\Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change!\Change? How? response:	I don't know if it's for better or worse, but...
context: Anyway, let's go. We have our own duties to take care of.\That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but... response:	I'm sorry.
context: That's true. We don't have time to wait.\Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but...\I'm sorry. response:	Naru? Are you all right?
context: Still, it's human nature to keep waiting...\Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right? response:	Do you have your inhaler?
context: Waiting for the dove to return with a branch of hope in its beak.\I had a weird dream.\It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right?\Do you have your inhaler? response:	Keep your eyes on the road!
context: I had a weird dream.\It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road! response:	Could my body be anymore inconvenient?
context: It felt like the world was going to change!\Change? How?\I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient? response:	Are you're having these dreams because of your spiritual powers?
context: Change? How?\I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers? response:	How would I know?
context: I don't know if it's for better or worse, but...\I'm sorry.\Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know? response:	If you're not even sure that it's going to happen,
context: I'm sorry.\Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen, response:	why bother taking Noah to a safer spot?
context: Naru? Are you all right?\Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot? response:	There's going to be a fire! How can I watch him die?!
context: Do you have your inhaler?\Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?! response:	He barely settled in the forest.
context: Keep your eyes on the road!\Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest. response:	He has no friends or family. I can't leave him alone.
context: Could my body be anymore inconvenient?\Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone. response:	Ao, you understand that feeling, right?
context: Are you're having these dreams because of your spiritual powers?\How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right? response:	Sorry... Are you mad at me?
context: How would I know?\If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me? response:	Look.
context: If you're not even sure that it's going to happen,\why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look. response:	He's there.
context: why bother taking Noah to a safer spot?\There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look.\He's there. response:	Noah!
context: There's going to be a fire! How can I watch him die?!\He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look.\He's there.\Noah! response:	Are you leaving now?
context: He barely settled in the forest.\He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look.\He's there.\Noah!\Are you leaving now? response:	I haven't gathered all the sea mangoes for Mr. Wong yet.
context: He has no friends or family. I can't leave him alone.\Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look.\He's there.\Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet. response:	But poaching is still poaching!
context: Ao, you understand that feeling, right?\Sorry... Are you mad at me?\Look.\He's there.\Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching! response:	Whatever. Just don't pass out, or the leeches are going to suck you dry!
context: Sorry... Are you mad at me?\Look.\He's there.\Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry! response:	I know!
context: Look.\He's there.\Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know! response:	If you don't come back on time, I'll call the police!
context: He's there.\Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police! response:	Oh, come on...
context: Noah!\Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police!\Oh, come on... response:	Such a drag.
context: Are you leaving now?\I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag. response:	But you know,
context: I haven't gathered all the sea mangoes for Mr. Wong yet.\But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag.\But you know, response:	a hundred thousand for delivering the IFO's ECU is easy money.
context: But poaching is still poaching!\Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money. response:	But Gazelle, are you sure it's a good idea to trust the Japanese army?
context: Whatever. Just don't pass out, or the leeches are going to suck you dry!\I know!\If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army? response:	And they gave you that weird gadget as well.
