context: Signs response:	Opening
context: Signs\Opening response:	Are you familiar with the phrase eighth-grader syndrome?
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome? response:	Children are most prone to it around the end of the eighth grade.
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade. response:	It's an adorable, yet dreadful disease resulting from new-found self-awareness
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness response:	mixing with an overly active imagination
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination response:	that results in the peculiar behavior we're all quite painfully familiar with.
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with. response:	Like the guy who only read weekly manga mags up until yesterday,
context: Signs\Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday, response:	then suddenly starts reading the original English versions of books.
context: Opening\Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books. response:	Or someone who has absolutely no idea what coffee tastes like,
context: Are you familiar with the phrase eighth-grader syndrome?\Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like, response:	but still tries to develop a taste for drinking it black.
context: Children are most prone to it around the end of the eighth grade.\It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black. response:	And then there's those who believe that they possess special powers,
context: It's an adorable, yet dreadful disease resulting from new-found self-awareness\mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers, response:	and become obsessed with the occult stuff overnight...
context: mixing with an overly active imagination\that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight... response:	During his junior high days,
context: that results in the peculiar behavior we're all quite painfully familiar with.\Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days, response:	this boy was a textbook example of eighth-grader syndrome too.
context: Like the guy who only read weekly manga mags up until yesterday,\then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too. response:	He named himself the Dark Flame Master, and his catchphrase was...
context: then suddenly starts reading the original English versions of books.\Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was... response:	Vanish into the embrace of dark flames!
context: Or someone who has absolutely no idea what coffee tastes like,\but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames! response:	That's so, so, so, so embarrassing!
context: but still tries to develop a taste for drinking it black.\And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing! response:	I wanna forget it! I wanna forget it!
context: And then there's those who believe that they possess special powers,\and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it! response:	Merely remembering this embarrassing condition
context: and become obsessed with the occult stuff overnight...\During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition response:	makes one want to disappear from the surface of the Earth.
context: During his junior high days,\this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth. response:	Did you see?
context: this boy was a textbook example of eighth-grader syndrome too.\He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see? response:	No!
context: He named himself the Dark Flame Master, and his catchphrase was...\Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see?\No! response:	Do you want to?
context: Vanish into the embrace of dark flames!\That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see?\No!\Do you want to? response:	Hey, Kuzuha!
context: That's so, so, so, so embarrassing!\I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see?\No!\Do you want to?\Hey, Kuzuha! response:	What is it now?
context: I wanna forget it! I wanna forget it!\Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see?\No!\Do you want to?\Hey, Kuzuha!\What is it now? response:	What do you think?
context: Merely remembering this embarrassing condition\makes one want to disappear from the surface of the Earth.\Did you see?\No!\Do you want to?\Hey, Kuzuha!\What is it now?\What do you think? response:	You look normal.
context: makes one want to disappear from the surface of the Earth.\Did you see?\No!\Do you want to?\Hey, Kuzuha!\What is it now?\What do you think?\You look normal. response:	Yeah! Normal, right?!
context: Did you see?\No!\Do you want to?\Hey, Kuzuha!\What is it now?\What do you think?\You look normal.\Yeah! Normal, right?! response:	Yeah...
context: No!\Do you want to?\Hey, Kuzuha!\What is it now?\What do you think?\You look normal.\Yeah! Normal, right?!\Yeah... response:	Hell yeah!
context: Do you want to?\Hey, Kuzuha!\What is it now?\What do you think?\You look normal.\Yeah! Normal, right?!\Yeah...\Hell yeah! response:	You're weird.
context: Hey, Kuzuha!\What is it now?\What do you think?\You look normal.\Yeah! Normal, right?!\Yeah...\Hell yeah!\You're weird. response:	What's all this trash?
context: What is it now?\What do you think?\You look normal.\Yeah! Normal, right?!\Yeah...\Hell yeah!\You're weird.\What's all this trash? response:	That's mine.
context: What do you think?\You look normal.\Yeah! Normal, right?!\Yeah...\Hell yeah!\You're weird.\What's all this trash?\That's mine. response:	I'll throw it all out later, so don't worry.
context: You look normal.\Yeah! Normal, right?!\Yeah...\Hell yeah!\You're weird.\What's all this trash?\That's mine.\I'll throw it all out later, so don't worry. response:	Sure is a lot.
context: Yeah! Normal, right?!\Yeah...\Hell yeah!\You're weird.\What's all this trash?\That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot. response:	But you bought this one with the money you got from New Year's...
context: Yeah...\Hell yeah!\You're weird.\What's all this trash?\That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's... response:	Can you just leave it alone?
context: Hell yeah!\You're weird.\What's all this trash?\That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone? response:	I remember you declaring you would rule the world with this, though.
context: You're weird.\What's all this trash?\That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though. response:	You remember wrong!
context: What's all this trash?\That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong! response:	You did!
context: That's mine.\I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong!\You did! response:	You used to wear that weird coat a lot back then too.
context: I'll throw it all out later, so don't worry.\Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong!\You did!\You used to wear that weird coat a lot back then too. response:	Shut up! If I can live without remembering that, so can you!
