context: This is Earthland, in the outskirts of Magnolia. response:	We're back!
context: This is Earthland, in the outskirts of Magnolia.\We're back! response:	Everything's back to normal!
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal! response:	The city of Magnolia is, too!
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal!\The city of Magnolia is, too! response:	Yippee!
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal!\The city of Magnolia is, too!\Yippee! response:	Wait.
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal!\The city of Magnolia is, too!\Yippee!\Wait. response:	It's too early to rejoice.
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal!\The city of Magnolia is, too!\Yippee!\Wait.\It's too early to rejoice. response:	We need to make sure everyone is safe, first.
context: This is Earthland, in the outskirts of Magnolia.\We're back!\Everything's back to normal!\The city of Magnolia is, too!\Yippee!\Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first. response:	Everyone's fine!
context: We're back!\Everything's back to normal!\The city of Magnolia is, too!\Yippee!\Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine! response:	We got to Earthland a bit before you, see.
context: Everything's back to normal!\The city of Magnolia is, too!\Yippee!\Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see. response:	We've already flown around a bunch!
context: The city of Magnolia is, too!\Yippee!\Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch! response:	The people in the guild and the city are all safe!
context: Yippee!\Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe! response:	It seems like none of them even realize they were turned into a lacrima!
context: Wait.\It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima! response:	Earthland sure is amazing!
context: It's too early to rejoice.\We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing! response:	There's magic everywhere!
context: We need to make sure everyone is safe, first.\Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere! response:	What's going on?
context: Everyone's fine!\We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere!\What's going on? response:	Why... Why are the Exceeds in Earthland?
context: We got to Earthland a bit before you, see.\We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland? response:	Lisanna.
context: We've already flown around a bunch!\The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna. response:	This is no joke.
context: The people in the guild and the city are all safe!\It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke. response:	They're dangerous!
context: It seems like none of them even realize they were turned into a lacrima!\Earthland sure is amazing!\There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke.\They're dangerous! response:	We should return them to Edolas.
context: Earthland sure is amazing!\There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke.\They're dangerous!\We should return them to Edolas. response:	Come on, now...
context: There's magic everywhere!\What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke.\They're dangerous!\We should return them to Edolas.\Come on, now... response:	Extalia's gone, remember?
context: What's going on?\Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke.\They're dangerous!\We should return them to Edolas.\Come on, now...\Extalia's gone, remember? response:	Forgive them, will you?
context: Why... Why are the Exceeds in Earthland?\Lisanna.\This is no joke.\They're dangerous!\We should return them to Edolas.\Come on, now...\Extalia's gone, remember?\Forgive them, will you? response:	No.
context: Lisanna.\This is no joke.\They're dangerous!\We should return them to Edolas.\Come on, now...\Extalia's gone, remember?\Forgive them, will you?\No. response:	I'm sorry I threw stones at you.
context: This is no joke.\They're dangerous!\We should return them to Edolas.\Come on, now...\Extalia's gone, remember?\Forgive them, will you?\No.\I'm sorry I threw stones at you. response:	I'm sorry!
