context: I haven't seen you before. response:	What is a woman doing here so early in the morning?
context: I haven't seen you before.\What is a woman doing here so early in the morning? response:	Oh, don't worry about it.
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it. response:	Just come here.
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here. response:	Hey...
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here.\Hey... response:	Do you like flowers?
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here.\Hey...\Do you like flowers? response:	Troops
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here.\Hey...\Do you like flowers?\Troops response:	Let him have it!
context: I haven't seen you before.\What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here.\Hey...\Do you like flowers?\Troops\Let him have it! response:	Al Huma!
context: What is a woman doing here so early in the morning?\Oh, don't worry about it.\Just come here.\Hey...\Do you like flowers?\Troops\Let him have it!\Al Huma! response:	Troops! Follow those two fools!
context: Oh, don't worry about it.\Just come here.\Hey...\Do you like flowers?\Troops\Let him have it!\Al Huma!\Troops! Follow those two fools! response:	They're firing the night-banisher.
context: Just come here.\Hey...\Do you like flowers?\Troops\Let him have it!\Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher. response:	Close your eyes.
context: Hey...\Do you like flowers?\Troops\Let him have it!\Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes. response:	Whoa...
context: Do you like flowers?\Troops\Let him have it!\Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes.\Whoa... response:	It's just like everyone said! Incredible!
context: Troops\Let him have it!\Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes.\Whoa...\It's just like everyone said! Incredible! response:	That's... the White Whale?
context: Let him have it!\Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes.\Whoa...\It's just like everyone said! Incredible!\That's... the White Whale? response:	It's so huge.
context: Al Huma!\Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes.\Whoa...\It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge. response:	Are you scared?
context: Troops! Follow those two fools!\They're firing the night-banisher.\Close your eyes.\Whoa...\It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge.\Are you scared? response:	Yeah, I'm scared...
context: They're firing the night-banisher.\Close your eyes.\Whoa...\It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge.\Are you scared?\Yeah, I'm scared... response:	of the blindingly bright future,
context: Close your eyes.\Whoa...\It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge.\Are you scared?\Yeah, I'm scared...\of the blindingly bright future, response:	where I'm praised for defeating it!
context: Whoa...\It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge.\Are you scared?\Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it! response:	Now, let's run like hell!
context: It's just like everyone said! Incredible!\That's... the White Whale?\It's so huge.\Are you scared?\Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell! response:	Yes.
context: That's... the White Whale?\It's so huge.\Are you scared?\Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell!\Yes. response:	It's so fast!
context: It's so huge.\Are you scared?\Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell!\Yes.\It's so fast! response:	You greatly underestimate us,
context: Are you scared?\Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell!\Yes.\It's so fast!\You greatly underestimate us, response:	looking away so carelessly.
context: Yeah, I'm scared...\of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell!\Yes.\It's so fast!\You greatly underestimate us,\looking away so carelessly. response:	The intangible sword, without regard for range.
context: of the blindingly bright future,\where I'm praised for defeating it!\Now, let's run like hell!\Yes.\It's so fast!\You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range. response:	That is Crusch-sama's sword art,
context: where I'm praised for defeating it!\Now, let's run like hell!\Yes.\It's so fast!\You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art, response:	famous for its Hundred-Man Strike.
context: Now, let's run like hell!\Yes.\It's so fast!\You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike. response:	Disperse!
context: Yes.\It's so fast!\You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse! response:	Disperse!
context: It's so fast!\You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse!\Disperse! response:	For fourteen years,
context: You greatly underestimate us,\looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse!\Disperse!\For fourteen years, response:	I have dreamed of nothing but this day.
context: looking away so carelessly.\The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse!\Disperse!\For fourteen years,\I have dreamed of nothing but this day. response:	Fall here, and leave your corpse behind.
context: The intangible sword, without regard for range.\That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse!\Disperse!\For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind. response:	You are naught but a monster!
context: That is Crusch-sama's sword art,\famous for its Hundred-Man Strike.\Disperse!\Disperse!\For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster! response:	How wonderfully cooperative of you,
context: famous for its Hundred-Man Strike.\Disperse!\Disperse!\For fourteen years,\I have dreamed of nothing but this day.\Fall here, and leave your corpse behind.\You are naught but a monster!\How wonderfully cooperative of you, response:	coming here to be slain!
