context: Did you wait long? response:	No, I just came too.
context: Did you wait long?\No, I just came too. response:	Moka-san...
context: Did you wait long?\No, I just came too.\Moka-san... response:	You're really early, there's still thirty minutes till the arranged meeting time.
context: Did you wait long?\No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time. response:	C-Cute.
context: Did you wait long?\No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute. response:	Moka-san looks cute in casual clothes too!
context: Did you wait long?\No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too! response:	Is it weird...?
context: Did you wait long?\No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...? response:	It really fits you!
context: Did you wait long?\No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you! response:	Really?
context: No, I just came too.\Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you!\Really? response:	I'm glad.
context: Moka-san...\You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you!\Really?\I'm glad. response:	It's finally summer vacation, right, Tsukune?
context: You're really early, there's still thirty minutes till the arranged meeting time.\C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you!\Really?\I'm glad.\It's finally summer vacation, right, Tsukune? response:	I'm really looking forward to the trip.
context: C-Cute.\Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you!\Really?\I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip. response:	Looking forward...
context: Moka-san looks cute in casual clothes too!\Is it weird...?\It really fits you!\Really?\I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward... response:	To be honest, I was really surprised.
context: Is it weird...?\It really fits you!\Really?\I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised. response:	I didn't expect things to turn out like this.
context: It really fits you!\Really?\I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this. response:	A retreat?!
context: Really?\I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?! response:	Yup! This year, the newspaper club will have its summer retreat in the human world!
context: I'm glad.\It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world! response:	Are you sure?! With the amount of people we have...
context: It's finally summer vacation, right, Tsukune?\I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have... response:	It's fine, if I'm with you guys...
context: I'm really looking forward to the trip.\Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys... response:	Maybe?!
context: Looking forward...\To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?! response:	Going with Moka-san and the others to the human world...
context: To be honest, I was really surprised.\I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world... response:	This is so sudden, is it all right to be happy about this? I don't really know.
context: I didn't expect things to turn out like this.\A retreat?!\Yup! This year, the newspaper club will have its summer retreat in the human world!\Are you sure?! With the amount of people we have...\It's fine, if I'm with you guys...\Maybe?!\Going with Moka-san and the others to the human world...\This is so sudden, is it all right to be happy about this? I don't really know. response:	I'm very nervous.
