context: Ladies and gentlemen, good evening. response:	The girl sleeping in the house of the poisoner...
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner... response:	However, the next misfortune then silently creeps up and suddenly appears before us.
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us. response:	Indeed, just like that single letter that was delivered to an innocent soul.
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul. response:	Act 12: Encore
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore response:	Excuse me?
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me? response:	Father, what did you say just now?
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me?\Father, what did you say just now? response:	Your engagement to Albert... I've called it off.
context: Ladies and gentlemen, good evening.\The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off. response:	All right?
context: The girl sleeping in the house of the poisoner...\However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right? response:	What's the meaning of this? What brought this on?
context: However, the next misfortune then silently creeps up and suddenly appears before us.\Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on? response:	I've been hearing some unsavory rumors about the Morcerf family.
context: Indeed, just like that single letter that was delivered to an innocent soul.\Act 12: Encore\Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family. response:	But that doesn't mean you have to... I can't believe this!
context: Act 12: Encore\Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this! response:	I don't understand you.
context: Excuse me?\Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you. response:	As I recall, you were never very enthusiastic over the engagement from the very beginning.
context: Father, what did you say just now?\Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning. response:	You don't understand anything, do you, Father?
context: Your engagement to Albert... I've called it off.\All right?\What's the meaning of this? What brought this on?\I've been hearing some unsavory rumors about the Morcerf family.\But that doesn't mean you have to... I can't believe this!\I don't understand you.\As I recall, you were never very enthusiastic over the engagement from the very beginning.\You don't understand anything, do you, Father? response:	Don't treat my life like it was one of your stocks or bonds!
