context: It's something very precious to me. response:	Serinuma-san, I like you.
context: It's something very precious to me.\Serinuma-san, I like you. response:	Sorry, what did you just say?
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say? response:	I couldn't really hear you.
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you. response:	Serinuma-san, I have feelings for
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for response:	What?
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for\What? response:	Senpai, what were you planning on telling her just now?
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now? response:	Huh?
context: It's something very precious to me.\Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now?\Huh? response:	Don't tell me...
context: Serinuma-san, I like you.\Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now?\Huh?\Don't tell me... response:	I was going to tell her that I like her.
context: Sorry, what did you just say?\I couldn't really hear you.\Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now?\Huh?\Don't tell me...\I was going to tell her that I like her. response:	What?!
context: I couldn't really hear you.\Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now?\Huh?\Don't tell me...\I was going to tell her that I like her.\What?! response:	Weren't you saying you weren't sure if your feelings were romantic or not
context: Serinuma-san, I have feelings for\What?\Senpai, what were you planning on telling her just now?\Huh?\Don't tell me...\I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not response:	just a little while ago?
context: What?\Senpai, what were you planning on telling her just now?\Huh?\Don't tell me...\I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago? response:	Yup, so I figured it out just a second ago.
context: Senpai, what were you planning on telling her just now?\Huh?\Don't tell me...\I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago. response:	A second ago?!
context: Huh?\Don't tell me...\I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?! response:	Right. Thanks to my brother, I finally realized how I felt.
context: Don't tell me...\I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt. response:	I'm in love with Serinuma-san.
context: I was going to tell her that I like her.\What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san. response:	Ni
context: What?!\Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni response:	Iga
context: Weren't you saying you weren't sure if your feelings were romantic or not\just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni\Iga response:	Nana
context: just a little while ago?\Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni\Iga\Nana response:	Shi
context: Yup, so I figured it out just a second ago.\A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni\Iga\Nana\Shi response:	S-Straight to the point!
context: A second ago?!\Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni\Iga\Nana\Shi\S-Straight to the point! response:	Blush
context: Right. Thanks to my brother, I finally realized how I felt.\I'm in love with Serinuma-san.\Ni\Iga\Nana\Shi\S-Straight to the point!\Blush response:	So I have to tell her how I feel
context: I'm in love with Serinuma-san.\Ni\Iga\Nana\Shi\S-Straight to the point!\Blush\So I have to tell her how I feel response:	as soon as I possibly can.
context: Ni\Iga\Nana\Shi\S-Straight to the point!\Blush\So I have to tell her how I feel\as soon as I possibly can. response:	G-Get real! We won't let you!
context: Iga\Nana\Shi\S-Straight to the point!\Blush\So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you! response:	Huh? Why not?
context: Nana\Shi\S-Straight to the point!\Blush\So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not? response:	No one gets a head start!
context: Shi\S-Straight to the point!\Blush\So I have to tell her how I feel\as soon as I possibly can.\G-Get real! We won't let you!\Huh? Why not?\No one gets a head start! response:	He means we all feel the same as you.
