context: Is that what the king has been up to? response:	Malty-sama must've talked him into it.
context: Is that what the king has been up to?\Malty-sama must've talked him into it. response:	How is the Shield Hero holding up?
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up? response:	He procured a demi-human girl from a slave trader.
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader. response:	Is that so?
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so? response:	That's a relief.
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so?\That's a relief. response:	However...
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so?\That's a relief.\However... response:	News of Melromarc's summoning of the Four Cardinal Heroes
context: Is that what the king has been up to?\Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so?\That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes response:	is making waves here as well.
context: Malty-sama must've talked him into it.\How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so?\That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well. response:	We must prevent our neighbors from meddling, no matter what.
context: How is the Shield Hero holding up?\He procured a demi-human girl from a slave trader.\Is that so?\That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what. response:	We'll continue to keep an eye on things in the capital.
context: He procured a demi-human girl from a slave trader.\Is that so?\That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital. response:	I'm counting on you.
context: Is that so?\That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you. response:	As a reward for your efforts during the Wave and for fulfilling my request,
context: That's a relief.\However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request, response:	Motoyasu-dono will receive 4,000 silvers,
context: However...\News of Melromarc's summoning of the Four Cardinal Heroes\is making waves here as well.\We must prevent our neighbors from meddling, no matter what.\We'll continue to keep an eye on things in the capital.\I'm counting on you.\As a reward for your efforts during the Wave and for fulfilling my request,\Motoyasu-dono will receive 4,000 silvers, response:	and Itsuki-dono and Ren-dono will receive 3,800.
