context: I declare love to be forbidden! response:	Who is that guy?
context: I declare love to be forbidden!\Who is that guy? response:	Maybe he's part of Neo-Deava.
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava. response:	He looks like a juggler.
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler. response:	Or a clown.
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown. response:	What do you mean, love forbidden?
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown.\What do you mean, love forbidden? response:	But the wall's finally gone!
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown.\What do you mean, love forbidden?\But the wall's finally gone! response:	Yeah!
context: I declare love to be forbidden!\Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown.\What do you mean, love forbidden?\But the wall's finally gone!\Yeah! response:	Chairman?!
context: Who is that guy?\Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown.\What do you mean, love forbidden?\But the wall's finally gone!\Yeah!\Chairman?! response:	Ms. Chairman, please enjoy these donuts.
context: Maybe he's part of Neo-Deava.\He looks like a juggler.\Or a clown.\What do you mean, love forbidden?\But the wall's finally gone!\Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts. response:	Thank you.
context: He looks like a juggler.\Or a clown.\What do you mean, love forbidden?\But the wall's finally gone!\Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you. response:	This little girl is the chairman?
context: Or a clown.\What do you mean, love forbidden?\But the wall's finally gone!\Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman? response:	Yes.
context: What do you mean, love forbidden?\But the wall's finally gone!\Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman?\Yes. response:	And that is Neo-Deava's High Commander, Fudo Zen.
context: But the wall's finally gone!\Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen. response:	The High Commander and the Chairman have been on a journey
context: Yeah!\Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey response:	to unravel the mysteries of Aquarion.
context: Chairman?!\Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion. response:	I suppose their return means they've found something.
context: Ms. Chairman, please enjoy these donuts.\Thank you.\This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something. response:	I'm afraid I have been told nothing
context: Thank you.\This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing response:	about either these mysteries or the forbidden Aquarion itself.
context: This little girl is the chairman?\Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself. response:	Miss Suomi, do you know the story of Apollon and Silvie?
context: Yes.\And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie? response:	Of course. Everyone knows that fairy tale.
context: And that is Neo-Deava's High Commander, Fudo Zen.\The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale. response:	I think there was even a movie about it.
context: The High Commander and the Chairman have been on a journey\to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it. response:	It was called Skies of Aquaria.
context: to unravel the mysteries of Aquarion.\I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria. response:	Correct. 12,000 years ago,
context: I suppose their return means they've found something.\I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago, response:	after they defeated the Dark Angels,
context: I'm afraid I have been told nothing\about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels, response:	Apollon and Silvie were separated.
context: about either these mysteries or the forbidden Aquarion itself.\Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated. response:	But fierce passions can bring destruction.
context: Miss Suomi, do you know the story of Apollon and Silvie?\Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction. response:	Apollon and Silvie were torn from each other and still yearn to meet again.
context: Of course. Everyone knows that fairy tale.\I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again. response:	And this causes the modern Aquarion to go berserk.
context: I think there was even a movie about it.\It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk. response:	Berserk?
context: It was called Skies of Aquaria.\Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk? response:	That's why Neo-Deava sealed away Aquarion's full power.
context: Correct. 12,000 years ago,\after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power. response:	You already know that very well, don't you, Mister Donar?
context: after they defeated the Dark Angels,\Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar? response:	Yeah, and I wish I didn't.
context: Apollon and Silvie were separated.\But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't. response:	But our enemies are growing stronger.
context: But fierce passions can bring destruction.\Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger. response:	We at Neo-Deava are forced to rethink our strategies.
context: Apollon and Silvie were torn from each other and still yearn to meet again.\And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies. response:	You're right.
context: And this causes the modern Aquarion to go berserk.\Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right. response:	We have no choice. The forbidden powers are all we have.
context: Berserk?\That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have. response:	The donut is an empty space surrounded by a ring.
context: That's why Neo-Deava sealed away Aquarion's full power.\You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring. response:	You must eat the empty space at your center, Donar Dantes.
context: You already know that very well, don't you, Mister Donar?\Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes. response:	Pardon me, Jin. Izumo wants to see you.
context: Yeah, and I wish I didn't.\But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you. response:	Wha A reproduction of Alisia!
context: But our enemies are growing stronger.\We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia! response:	Where did you get this?
context: We at Neo-Deava are forced to rethink our strategies.\You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this? response:	What does Izumo want?
context: You're right.\We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want? response:	Yeah?
context: We have no choice. The forbidden powers are all we have.\The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want?\Yeah? response:	Jin, the data you brought back has been analyzed.
context: The donut is an empty space surrounded by a ring.\You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed. response:	The Machine Angel's parameters depend on its form.
context: You must eat the empty space at your center, Donar Dantes.\Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form. response:	That's what I thought.
context: Pardon me, Jin. Izumo wants to see you.\Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form.\That's what I thought. response:	It fought completely differently pre and post transformation.
context: Wha A reproduction of Alisia!\Where did you get this?\What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form.\That's what I thought.\It fought completely differently pre and post transformation. response:	One more thing.
context: Where did you get this?\What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form.\That's what I thought.\It fought completely differently pre and post transformation.\One more thing. response:	When it used that last attack,
context: What does Izumo want?\Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form.\That's what I thought.\It fought completely differently pre and post transformation.\One more thing.\When it used that last attack, response:	we detected readings consistent with a Rare Igura.
context: Yeah?\Jin, the data you brought back has been analyzed.\The Machine Angel's parameters depend on its form.\That's what I thought.\It fought completely differently pre and post transformation.\One more thing.\When it used that last attack,\we detected readings consistent with a Rare Igura. response:	A Rare Igura was in that thing?
