context: It's a pleasant Sunday. response:	I hope you're having a good time.
context: It's a pleasant Sunday.\I hope you're having a good time. response:	There's going to be a fireworks festival in Higashi-cho today.
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today. response:	I get the whole day off today.
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today. response:	I'm going to forget about the quintuplets and study all I want!
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want! response:	I should teach them this formula.
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula. response:	This is a good problem. Even Yotsuba could learn from it.
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it. response:	This one would be good for Miku.
context: It's a pleasant Sunday.\I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku. response:	Wait, what the hell am I doing?!
context: I hope you're having a good time.\There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?! response:	What am I, a tryhard tutor?!
context: There's going to be a fireworks festival in Higashi-cho today.\I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?! response:	Is it a loan shark?
context: I get the whole day off today.\I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark? response:	If you're here for money, we don't have...
context: I'm going to forget about the quintuplets and study all I want!\I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have... response:	any.
context: I should teach them this formula.\This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have...\any. response:	Why'd you close the door on me?
context: This is a good problem. Even Yotsuba could learn from it.\This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have...\any.\Why'd you close the door on me? response:	Open up!
context: This one would be good for Miku.\Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have...\any.\Why'd you close the door on me?\Open up! response:	What?
context: Wait, what the hell am I doing?!\What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have...\any.\Why'd you close the door on me?\Open up!\What? response:	There's something I need to give you.
context: What am I, a tryhard tutor?!\Is it a loan shark?\If you're here for money, we don't have...\any.\Why'd you close the door on me?\Open up!\What?\There's something I need to give you. response:	My father left your pay with me.
context: Is it a loan shark?\If you're here for money, we don't have...\any.\Why'd you close the door on me?\Open up!\What?\There's something I need to give you.\My father left your pay with me. response:	You're turning Yukichi-san wrinkly with your sweat!
context: If you're here for money, we don't have...\any.\Why'd you close the door on me?\Open up!\What?\There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat! response:	Five thousand yen a day for each of us.
context: any.\Why'd you close the door on me?\Open up!\What?\There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us. response:	That's fifty thousand yen for two days.
context: Why'd you close the door on me?\Open up!\What?\There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days. response:	Mom, Onii-chan made it.
context: Open up!\What?\There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it. response:	Holy cow. We'll be able to pay off the loans in no time.
context: What?\There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time. response:	Well, I'll be leaving now.
context: There's something I need to give you.\My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now. response:	I can't accept this.
context: My father left your pay with me.\You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this. response:	Sure, I did go to your place twice.
context: You're turning Yukichi-san wrinkly with your sweat!\Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice. response:	But I didn't do anything.
context: Five thousand yen a day for each of us.\That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything. response:	Are you sure?
context: That's fifty thousand yen for two days.\Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything.\Are you sure? response:	What about the sexual harassment?
context: Mom, Onii-chan made it.\Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything.\Are you sure?\What about the sexual harassment? response:	Onii-chan!
context: Holy cow. We'll be able to pay off the loans in no time.\Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything.\Are you sure?\What about the sexual harassment?\Onii-chan! response:	I thought we cleared that up!
context: Well, I'll be leaving now.\I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything.\Are you sure?\What about the sexual harassment?\Onii-chan!\I thought we cleared that up! response:	I don't think it's true that you've done nothing.
context: I can't accept this.\Sure, I did go to your place twice.\But I didn't do anything.\Are you sure?\What about the sexual harassment?\Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing. response:	Your presence is beginning to change something in the five of us.
context: Sure, I did go to your place twice.\But I didn't do anything.\Are you sure?\What about the sexual harassment?\Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us. response:	The five of you?
context: But I didn't do anything.\Are you sure?\What about the sexual harassment?\Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you? response:	I made a mistake.
context: Are you sure?\What about the sexual harassment?\Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake. response:	The four of them.
context: What about the sexual harassment?\Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake.\The four of them. response:	A-Anyway, I won't take this back.
context: Onii-chan!\I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake.\The four of them.\A-Anyway, I won't take this back. response:	Use it however you like.
context: I thought we cleared that up!\I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake.\The four of them.\A-Anyway, I won't take this back.\Use it however you like. response:	Raiha, is there anything you want?
context: I don't think it's true that you've done nothing.\Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake.\The four of them.\A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want? response:	Onii-chan!
context: Your presence is beginning to change something in the five of us.\The five of you?\I made a mistake.\The four of them.\A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want?\Onii-chan! response:	The coins!
context: The five of you?\I made a mistake.\The four of them.\A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want?\Onii-chan!\The coins! response:	Way to go!
context: I made a mistake.\The four of them.\A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want?\Onii-chan!\The coins!\Way to go! response:	So why are you here?
context: The four of them.\A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want?\Onii-chan!\The coins!\Way to go!\So why are you here? response:	What choice did I have?
context: A-Anyway, I won't take this back.\Use it however you like.\Raiha, is there anything you want?\Onii-chan!\The coins!\Way to go!\So why are you here?\What choice did I have? response:	I want to try going to the arcade!
context: Use it however you like.\Raiha, is there anything you want?\Onii-chan!\The coins!\Way to go!\So why are you here?\What choice did I have?\I want to try going to the arcade! response:	You'll come too, won't you, Itsuki-san?
context: Raiha, is there anything you want?\Onii-chan!\The coins!\Way to go!\So why are you here?\What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san? response:	Please?
context: Onii-chan!\The coins!\Way to go!\So why are you here?\What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please? response:	You should have said no.
context: The coins!\Way to go!\So why are you here?\What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please?\You should have said no. response:	How could I? She's too cute.
context: Way to go!\So why are you here?\What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please?\You should have said no.\How could I? She's too cute. response:	I hear ya!
context: So why are you here?\What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please?\You should have said no.\How could I? She's too cute.\I hear ya! response:	Bring it on!
context: What choice did I have?\I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please?\You should have said no.\How could I? She's too cute.\I hear ya!\Bring it on! response:	Here I go.
context: I want to try going to the arcade!\You'll come too, won't you, Itsuki-san?\Please?\You should have said no.\How could I? She's too cute.\I hear ya!\Bring it on!\Here I go. response:	Over here!
context: You'll come too, won't you, Itsuki-san?\Please?\You should have said no.\How could I? She's too cute.\I hear ya!\Bring it on!\Here I go.\Over here! response:	Hey!
context: Please?\You should have said no.\How could I? She's too cute.\I hear ya!\Bring it on!\Here I go.\Over here!\Hey! response:	Raiha-chan's enjoying herself.
context: You should have said no.\How could I? She's too cute.\I hear ya!\Bring it on!\Here I go.\Over here!\Hey!\Raiha-chan's enjoying herself. response:	Raiha has a hard time because of our family situation.
context: How could I? She's too cute.\I hear ya!\Bring it on!\Here I go.\Over here!\Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation. response:	I'm sure there are many more things she'd like to do.
context: I hear ya!\Bring it on!\Here I go.\Over here!\Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do. response:	I want to grant all of her wishes.
context: Bring it on!\Here I go.\Over here!\Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes. response:	Onii-chan! Itsuki-san!
context: Here I go.\Over here!\Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san! response:	I want to do that one with the two of you before we go.
context: Over here!\Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go. response:	A-Actually, that one looks more...
context: Hey!\Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more... response:	All of her wishes, right?
context: Raiha-chan's enjoying herself.\Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right? response:	On second thought, I'm going to pass.
context: Raiha has a hard time because of our family situation.\I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass. response:	You aren't getting away.
context: I'm sure there are many more things she'd like to do.\I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away. response:	You scoot in too, Itsuki-san.
context: I want to grant all of her wishes.\Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san. response:	O-Okay.
context: Onii-chan! Itsuki-san!\I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay. response:	It's like a family photo.
context: I want to do that one with the two of you before we go.\A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo. response:	Itsuki-san
context: A-Actually, that one looks more...\All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo.\Itsuki-san response:	Raiha
context: All of her wishes, right?\On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo.\Itsuki-san\Raiha response:	Onii-chan
context: On second thought, I'm going to pass.\You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo.\Itsuki-san\Raiha\Onii-chan response:	What kind of face is that?
context: You aren't getting away.\You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo.\Itsuki-san\Raiha\Onii-chan\What kind of face is that? response:	You're one to talk.
context: You scoot in too, Itsuki-san.\O-Okay.\It's like a family photo.\Itsuki-san\Raiha\Onii-chan\What kind of face is that?\You're one to talk. response:	Onii-chan, Itsuki-san, thank you.
context: O-Okay.\It's like a family photo.\Itsuki-san\Raiha\Onii-chan\What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you. response:	I'll cherish this for the rest of my life.
context: It's like a family photo.\Itsuki-san\Raiha\Onii-chan\What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life. response:	And there goes my Sunday.
context: Itsuki-san\Raiha\Onii-chan\What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday. response:	No, I still have the evening.
context: Raiha\Onii-chan\What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening. response:	All of you had better study tonight, too.
context: Onii-chan\What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too. response:	I should get going.
context: What kind of face is that?\You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too.\I should get going. response:	Something's fishy.
context: You're one to talk.\Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too.\I should get going.\Something's fishy. response:	You have homework.
context: Onii-chan, Itsuki-san, thank you.\I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too.\I should get going.\Something's fishy.\You have homework. response:	Have you finished it?
context: I'll cherish this for the rest of my life.\And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too.\I should get going.\Something's fishy.\You have homework.\Have you finished it? response:	Stop following me!
context: And there goes my Sunday.\No, I still have the evening.\All of you had better study tonight, too.\I should get going.\Something's fishy.\You have homework.\Have you finished it?\Stop following me! response:	Onii-chan, I see four Itsuki-sans.
context: No, I still have the evening.\All of you had better study tonight, too.\I should get going.\Something's fishy.\You have homework.\Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans. response:	Oh, Uesugi-san?
context: All of you had better study tonight, too.\I should get going.\Something's fishy.\You have homework.\Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san? response:	Why are you with him, Itsuki?!
context: I should get going.\Something's fishy.\You have homework.\Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?! response:	Were you in the middle of a date?
context: Something's fishy.\You have homework.\Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date? response:	Sorry.
context: You have homework.\Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry. response:	We aren't!
context: Have you finished it?\Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry.\We aren't! response:	Are you Uesugi-san's kid sister?
context: Stop following me!\Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry.\We aren't!\Are you Uesugi-san's kid sister? response:	Yes.
context: Onii-chan, I see four Itsuki-sans.\Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry.\We aren't!\Are you Uesugi-san's kid sister?\Yes. response:	Let's go see the fireworks together.
context: Oh, Uesugi-san?\Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry.\We aren't!\Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together. response:	Fireworks?
context: Why are you with him, Itsuki?!\Were you in the middle of a date?\Sorry.\We aren't!\Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together.\Fireworks? response:	Hang on a second.
context: Were you in the middle of a date?\Sorry.\We aren't!\Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together.\Fireworks?\Hang on a second. response:	I have plans to study.
context: Sorry.\We aren't!\Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together.\Fireworks?\Hang on a second.\I have plans to study. response:	You all have homework, too.
context: We aren't!\Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together.\Fireworks?\Hang on a second.\I have plans to study.\You all have homework, too. response:	Onii-chan...
context: Are you Uesugi-san's kid sister?\Yes.\Let's go see the fireworks together.\Fireworks?\Hang on a second.\I have plans to study.\You all have homework, too.\Onii-chan... response:	Please?
context: Yes.\Let's go see the fireworks together.\Fireworks?\Hang on a second.\I have plans to study.\You all have homework, too.\Onii-chan...\Please? response:	Sure, we can go.
context: Let's go see the fireworks together.\Fireworks?\Hang on a second.\I have plans to study.\You all have homework, too.\Onii-chan...\Please?\Sure, we can go. response:	But only...
context: Fireworks?\Hang on a second.\I have plans to study.\You all have homework, too.\Onii-chan...\Please?\Sure, we can go.\But only... response:	after...
context: Hang on a second.\I have plans to study.\You all have homework, too.\Onii-chan...\Please?\Sure, we can go.\But only...\after... response:	all of you...
context: I have plans to study.\You all have homework, too.\Onii-chan...\Please?\Sure, we can go.\But only...\after...\all of you... response:	finish...
context: You all have homework, too.\Onii-chan...\Please?\Sure, we can go.\But only...\after...\all of you...\finish... response:	your homework!
context: Onii-chan...\Please?\Sure, we can go.\But only...\after...\all of you...\finish...\your homework! response:	Jeez!
context: Please?\Sure, we can go.\But only...\after...\all of you...\finish...\your homework!\Jeez! response:	We're gonna miss the start of the fireworks!
context: Sure, we can go.\But only...\after...\all of you...\finish...\your homework!\Jeez!\We're gonna miss the start of the fireworks! response:	Yakisoba
context: But only...\after...\all of you...\finish...\your homework!\Jeez!\We're gonna miss the start of the fireworks!\Yakisoba response:	Okonomiyaki
context: after...\all of you...\finish...\your homework!\Jeez!\We're gonna miss the start of the fireworks!\Yakisoba\Okonomiyaki response:	Shaved Ice
