context: It's just my imagination, right? response:	Next Wednesday?
context: It's just my imagination, right?\Next Wednesday? response:	Yeah. Are you available after school?
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school? response:	Let's go to a party!
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school?\Let's go to a party! response:	Apparently there will be a tea party with guys from a band.
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band. response:	Guys from a band?
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band? response:	Well, they're actually just boys from Yumezaki High.
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High. response:	They're pretty famous in the Indie crowd.
context: It's just my imagination, right?\Next Wednesday?\Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd. response:	They said that I should bring some friends with me.
context: Next Wednesday?\Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me. response:	Okay...
context: Yeah. Are you available after school?\Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay... response:	Apparently Sakura-san is in love with the group's vocalist.
context: Let's go to a party!\Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist. response:	Stop it, Shizuko! You're embarrassing me!
context: Apparently there will be a tea party with guys from a band.\Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me! response:	Love?
context: Guys from a band?\Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love? response:	Yup. I love him.
context: Well, they're actually just boys from Yumezaki High.\They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him. response:	So I wanted to introduce him to you, too.
context: They're pretty famous in the Indie crowd.\They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him.\So I wanted to introduce him to you, too. response:	Is next week no good?
context: They said that I should bring some friends with me.\Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good? response:	Are you sure I can come?
context: Okay...\Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come? response:	Of course!
context: Apparently Sakura-san is in love with the group's vocalist.\Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come?\Of course! response:	Hey.
context: Stop it, Shizuko! You're embarrassing me!\Love?\Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come?\Of course!\Hey. response:	You still haven't gone home, Prez?
context: Love?\Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come?\Of course!\Hey.\You still haven't gone home, Prez? response:	Shouldn't student council be over now?
context: Yup. I love him.\So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come?\Of course!\Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now? response:	Yeah, but I have to do something.
context: So I wanted to introduce him to you, too.\Is next week no good?\Are you sure I can come?\Of course!\Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something. response:	I'm trying to open up a day next week, so I'm trying to finish some work in advance.
context: Is next week no good?\Are you sure I can come?\Of course!\Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance. response:	This goes here...
context: Are you sure I can come?\Of course!\Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here... response:	Is something happening next week?
context: Of course!\Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week? response:	Sakura wants me to come with her after school.
context: Hey.\You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week?\Sakura wants me to come with her after school. response:	Just you two?
context: You still haven't gone home, Prez?\Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week?\Sakura wants me to come with her after school.\Just you two? response:	No, Shizuko's going as well.
context: Shouldn't student council be over now?\Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week?\Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well. response:	This goes...
context: Yeah, but I have to do something.\I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week?\Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well.\This goes... response:	Who are you seeing?
context: I'm trying to open up a day next week, so I'm trying to finish some work in advance.\This goes here...\Is something happening next week?\Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well.\This goes...\Who are you seeing? response:	Blanking on the name. They're some kind of band.
context: This goes here...\Is something happening next week?\Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well.\This goes...\Who are you seeing?\Blanking on the name. They're some kind of band. response:	No, this should be over here.
context: Is something happening next week?\Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well.\This goes...\Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here. response:	Then this goes...
context: Sakura wants me to come with her after school.\Just you two?\No, Shizuko's going as well.\This goes...\Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes... response:	Is the band a male group?
context: Just you two?\No, Shizuko's going as well.\This goes...\Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes...\Is the band a male group? response:	Yeah!
context: No, Shizuko's going as well.\This goes...\Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes...\Is the band a male group?\Yeah! response:	Hey, this is-
context: This goes...\Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes...\Is the band a male group?\Yeah!\Hey, this is- response:	So they're people you don't know.
context: Who are you seeing?\Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes...\Is the band a male group?\Yeah!\Hey, this is-\So they're people you don't know. response:	Would you be quiet?
context: Blanking on the name. They're some kind of band.\No, this should be over here.\Then this goes...\Is the band a male group?\Yeah!\Hey, this is-\So they're people you don't know.\Would you be quiet? response:	I can't get these done otherwise.
context: No, this should be over here.\Then this goes...\Is the band a male group?\Yeah!\Hey, this is-\So they're people you don't know.\Would you be quiet?\I can't get these done otherwise. response:	In fact, just go home.
context: Then this goes...\Is the band a male group?\Yeah!\Hey, this is-\So they're people you don't know.\Would you be quiet?\I can't get these done otherwise.\In fact, just go home. response:	That? It should go there.
context: Is the band a male group?\Yeah!\Hey, this is-\So they're people you don't know.\Would you be quiet?\I can't get these done otherwise.\In fact, just go home.\That? It should go there. response:	So, what will you all do?
context: Yeah!\Hey, this is-\So they're people you don't know.\Would you be quiet?\I can't get these done otherwise.\In fact, just go home.\That? It should go there.\So, what will you all do? response:	Probably just chat at a cafe or something.
context: Hey, this is-\So they're people you don't know.\Would you be quiet?\I can't get these done otherwise.\In fact, just go home.\That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something. response:	That's...
context: So they're people you don't know.\Would you be quiet?\I can't get these done otherwise.\In fact, just go home.\That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something.\That's... response:	What? You look like you have something you want to say.
context: Would you be quiet?\I can't get these done otherwise.\In fact, just go home.\That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say. response:	Just thinking how rare it is for you to take part in that kind of activity.
context: I can't get these done otherwise.\In fact, just go home.\That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity. response:	You're right. Middle school was probably the last time I hung out with friends after school.
context: In fact, just go home.\That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school. response:	Maybe that's why I'm looking forward to this.
context: That? It should go there.\So, what will you all do?\Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this. response:	Here!
context: So, what will you all do?\Probably just chat at a cafe or something.\That's...\What? You look like you have something you want to say.\Just thinking how rare it is for you to take part in that kind of activity.\You're right. Middle school was probably the last time I hung out with friends after school.\Maybe that's why I'm looking forward to this.\Here! response:	So this is that band?
