context: So you can fish at this park, supposedly. response:	I'd like to try my rod out here.
context: So you can fish at this park, supposedly.\I'd like to try my rod out here. response:	Huh? You have a rod, don't you?
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you? response:	You know, one with a line.
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line. response:	A line of pus*y juice? That's weird...
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird... response:	You just don't stop, do you?!
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?! response:	Dum
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum response:	Tweet
context: So you can fish at this park, supposedly.\I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum\Tweet response:	Ousai Academy Student Council Rules,
context: I'd like to try my rod out here.\Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum\Tweet\Ousai Academy Student Council Rules, response:	Dum
context: Huh? You have a rod, don't you?\You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum\Tweet\Ousai Academy Student Council Rules,\Dum response:	You have to support each other... when you're doing a seated cowgirl.
context: You know, one with a line.\A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl. response:	You're one rotten fruit.
context: A line of pus*y juice? That's weird...\You just don't stop, do you?!\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit. response:	Do you know what cherry blossoms stand for?
context: You just don't stop, do you?!\Dum\Tweet\Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for? response:	No, I didn't know they stood for something.
context: Dum\Tweet\Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something. response:	Tell her, Shino-chan.
context: Tweet\Ousai Academy Student Council Rules,\Dum\You have to support each other... when you're doing a seated cowgirl.\You're one rotten fruit.\Do you know what cherry blossoms stand for?\No, I didn't know they stood for something.\Tell her, Shino-chan. response:	Being well-cultured, noble, pure, and innocent.
