context: There we go... response:	Make sure you listen to your uncle.
context: There we go...\Make sure you listen to your uncle. response:	Yeah.
context: There we go...\Make sure you listen to your uncle.\Yeah. response:	Do you have your handkerchief?
context: There we go...\Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief? response:	Your ticket?
context: There we go...\Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief?\Your ticket? response:	A nice pair of shoes?
context: There we go...\Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief?\Your ticket?\A nice pair of shoes? response:	Wait, don't tell me that's everything?
context: There we go...\Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief?\Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything? response:	It's fine.
context: There we go...\Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief?\Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine. response:	I made sure I packed the black ones.
context: Make sure you listen to your uncle.\Yeah.\Do you have your handkerchief?\Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones. response:	Make sure you don't forget your luggage on the bullet train, okay?
context: Yeah.\Do you have your handkerchief?\Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay? response:	Don't zone out and miss your stop.
context: Do you have your handkerchief?\Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop. response:	Yeah, I got it!
context: Your ticket?\A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it! response:	Jeez.
context: A nice pair of shoes?\Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it!\Jeez. response:	I've been going there every year, so I'll be all right.
context: Wait, don't tell me that's everything?\It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right. response:	Hey, put on a hat.
context: It's fine.\I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat. response:	You'll get heat stroke.
context: I made sure I packed the black ones.\Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke. response:	It's alright!
context: Make sure you don't forget your luggage on the bullet train, okay?\Don't zone out and miss your stop.\Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke.\It's alright! response:	I'm fine.
context: Don't zone out and miss your stop.\Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke.\It's alright!\I'm fine. response:	See you!
context: Yeah, I got it!\Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke.\It's alright!\I'm fine.\See you! response:	The first time I met him
context: Jeez.\I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke.\It's alright!\I'm fine.\See you!\The first time I met him response:	was when I was six.
context: I've been going there every year, so I'll be all right.\Hey, put on a hat.\You'll get heat stroke.\It's alright!\I'm fine.\See you!\The first time I met him\was when I was six. response:	The Light of a Firefly Forest
context: Hey, put on a hat.\You'll get heat stroke.\It's alright!\I'm fine.\See you!\The first time I met him\was when I was six.\The Light of a Firefly Forest response:	On a hot summer day,
context: You'll get heat stroke.\It's alright!\I'm fine.\See you!\The first time I met him\was when I was six.\The Light of a Firefly Forest\On a hot summer day, response:	I got lost in the forest of the mountain god,
context: It's alright!\I'm fine.\See you!\The first time I met him\was when I was six.\The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god, response:	which was said to be where spirits lived.
context: I'm fine.\See you!\The first time I met him\was when I was six.\The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived. response:	After running around searching for an exit
context: See you!\The first time I met him\was when I was six.\The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit response:	I became so tired I couldn't move.
context: The first time I met him\was when I was six.\The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move. response:	When I started crying from fear and loneliness,
context: was when I was six.\The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness, response:	he appeared before me.
context: The Light of a Firefly Forest\On a hot summer day,\I got lost in the forest of the mountain god,\which was said to be where spirits lived.\After running around searching for an exit\I became so tired I couldn't move.\When I started crying from fear and loneliness,\he appeared before me. response:	Hey!
