context: Oh, my! response:	Sasamiya's Waldenholt landed a direct hit on RM-C!
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C! response:	Looks like she used her Lux as a shield and blocked it.
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it. response:	Her body is unscathed!
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed! response:	The Tyrant's Puppet Strings
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings response:	I see...
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings\I see... response:	No wonder Lady Camilla had her eye on you...
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you... response:	Saya Sasamiya.
context: Oh, my!\Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya. response:	Your attacks are based on airtight projections.
context: Sasamiya's Waldenholt landed a direct hit on RM-C!\Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections. response:	But that makes them all the more easy to counter.
context: Looks like she used her Lux as a shield and blocked it.\Her body is unscathed!\The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter. response:	I can feel this humiliation
context: Her body is unscathed!\The Tyrant's Puppet Strings\I see...\No wonder Lady Camilla had her eye on you...\Saya Sasamiya.\Your attacks are based on airtight projections.\But that makes them all the more easy to counter.\I can feel this humiliation response:	because my master gave me a personality and a soul.
