context: German below this response:	German above this
context: German below this\German above this response:	< She's a tankman. >
context: German below this\German above this\< She's a tankman. > response:	< Time for GERMAN! >
context: German below this\German above this\< She's a tankman. >\< Time for GERMAN! > response:	< Shit. >
context: German below this\German above this\< She's a tankman. >\< Time for GERMAN! >\< Shit. > response:	The brilliant glow of this sky, does it carry right into your heart?
context: German below this\German above this\< She's a tankman. >\< Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: German below this\German above this\< She's a tankman. >\< Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: German below this\German above this\< She's a tankman. >\< Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: German above this\< She's a tankman. >\< Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: < She's a tankman. >\< Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: < Time for GERMAN! >\< Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: < Shit. >\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Love and friendship - put these feelings together
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together response:	And sing of how important they are
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just walk it slowly
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly response:	Everybody singing!
context: In this light pouring down onto you, play tomorrow's song\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing! response:	Just tell me a bit of what you think
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, little happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever response:	Can you hear my precious note?
context: Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note? response:	All these words that there are can't even describe it.
