context: The Stardia materials shop we'd been planning is finally opening! response:	Upsy-daisy.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy. response:	W-Wow...
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow... response:	That looks like it weighs about 100 kilograms.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms. response:	Lola's stronger than she looks.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks. response:	Though she doesn't realize it.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it. response:	What a lovely shop, Noir.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir. response:	Indeed. There are many rare materials, so it'll probably be popular.
context: The Stardia materials shop we'd been planning is finally opening!\Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular. response:	We came here today to help out with the shop, didn't we?
context: Upsy-daisy.\W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we? response:	There's still plenty to do.
context: W-Wow...\That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do. response:	Luna, let go of me! Let go! Noir!
context: That looks like it weighs about 100 kilograms.\Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir! response:	I cleaned up the back.
context: Lola's stronger than she looks.\Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back. response:	Thanks, Emma. That'll help out a lot.
context: Though she doesn't realize it.\What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot. response:	Hey, is this for sale, too?
context: What a lovely shop, Noir.\Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too? response:	Yup. It's one of our shop's top items.
context: Indeed. There are many rare materials, so it'll probably be popular.\We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items. response:	That's a sample, so you can all have a taste.
context: We came here today to help out with the shop, didn't we?\There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste. response:	It's delicious!
context: There's still plenty to do.\Luna, let go of me! Let go! Noir!\I cleaned up the back.\Thanks, Emma. That'll help out a lot.\Hey, is this for sale, too?\Yup. It's one of our shop's top items.\That's a sample, so you can all have a taste.\It's delicious! response:	What is this?
