context: What a hard painting response:	I should have picked an easier one to paint'
context: What a hard painting\I should have picked an easier one to paint' response:	Eriol-kun.
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun. response:	Sakura-san
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun.\Sakura-san response:	Can I look?
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun.\Sakura-san\Can I look? response:	Sure.
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun.\Sakura-san\Can I look?\Sure. response:	Great! Eriol-kun, you can really draw!
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun.\Sakura-san\Can I look?\Sure.\Great! Eriol-kun, you can really draw! response:	Thank you very much
context: What a hard painting\I should have picked an easier one to paint'\Eriol-kun.\Sakura-san\Can I look?\Sure.\Great! Eriol-kun, you can really draw!\Thank you very much response:	I' I' I'
context: I should have picked an easier one to paint'\Eriol-kun.\Sakura-san\Can I look?\Sure.\Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I' response:	Y' yes'
context: Eriol-kun.\Sakura-san\Can I look?\Sure.\Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I'\Y' yes' response:	li' like'
context: Sakura-san\Can I look?\Sure.\Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I'\Y' yes'\li' like' response:	Sakura!
context: Can I look?\Sure.\Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I'\Y' yes'\li' like'\Sakura! response:	What's wrong?
context: Sure.\Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I'\Y' yes'\li' like'\Sakura!\What's wrong? response:	Someone is looking.
context: Great! Eriol-kun, you can really draw!\Thank you very much\I' I' I'\Y' yes'\li' like'\Sakura!\What's wrong?\Someone is looking. response:	Who's looking at you?
context: Thank you very much\I' I' I'\Y' yes'\li' like'\Sakura!\What's wrong?\Someone is looking.\Who's looking at you? response:	The person is looking at you, Sakura-san.
context: I' I' I'\Y' yes'\li' like'\Sakura!\What's wrong?\Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san. response:	Me?
context: Y' yes'\li' like'\Sakura!\What's wrong?\Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san.\Me? response:	He is troubled too.
context: li' like'\Sakura!\What's wrong?\Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san.\Me?\He is troubled too. response:	What a pity, last night.
context: Sakura!\What's wrong?\Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san.\Me?\He is troubled too.\What a pity, last night. response:	What do you mean?
context: What's wrong?\Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san.\Me?\He is troubled too.\What a pity, last night.\What do you mean? response:	Just when you were going to confess to Sakura, Kero-chan suddenly appeared.
context: Someone is looking.\Who's looking at you?\The person is looking at you, Sakura-san.\Me?\He is troubled too.\What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared. response:	When do you plan to tell her next?
context: Who's looking at you?\The person is looking at you, Sakura-san.\Me?\He is troubled too.\What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next? response:	I won't tell her for the moment.
context: The person is looking at you, Sakura-san.\Me?\He is troubled too.\What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment. response:	Last night I was only thinking that I have to tell her.
context: Me?\He is troubled too.\What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her. response:	But before that, there is something I must do first.
context: He is troubled too.\What a pity, last night.\What do you mean?\Just when you were going to confess to Sakura, Kero-chan suddenly appeared.\When do you plan to tell her next?\I won't tell her for the moment.\Last night I was only thinking that I have to tell her.\But before that, there is something I must do first. response:	I've made a promise.
