context: Why are you still alive? response:	Are you trying to atone?
context: Why are you still alive?\Are you trying to atone? response:	Sakura!
context: Why are you still alive?\Are you trying to atone?\Sakura! response:	Sakura! Isn't that what you were screaming back there?
context: Why are you still alive?\Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there? response:	That's right.
context: Why are you still alive?\Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there?\That's right. response:	Inami Sakura.
context: Why are you still alive?\Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura. response:	She's the younger sister of Inami Yui, the girl I murdered.
context: Why are you still alive?\Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered. response:	Cut the revenge crap!
context: Why are you still alive?\Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap! response:	This has nothing to do with you.
context: Are you trying to atone?\Sakura!\Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you. response:	Loneliness makes my cheeks wet
context: Sakura!\Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet response:	Loneliness makes my cheeks wet
context: Sakura! Isn't that what you were screaming back there?\That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet response:	kodoku ga hoho wo nurasu nurasu kedo
context: That's right.\Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo response:	kodoku ga hoho wo nurasu nurasu kedo
context: Inami Sakura.\She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo response:	But when the dawn emerges in silence
context: She's the younger sister of Inami Yui, the girl I murdered.\Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence response:	But when the dawn emerges in silence
context: Cut the revenge crap!\This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence response:	yoake no kehai ga shizuka ni michite
context: This has nothing to do with you.\Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite response:	yoake no kehai ga shizuka ni michite
context: Loneliness makes my cheeks wet\Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite response:	And carries me up into the skies
context: Loneliness makes my cheeks wet\kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies response:	And carries me up into the skies
context: kodoku ga hoho wo nurasu nurasu kedo\kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies response:	watashi wo sora e maneku yo
context: kodoku ga hoho wo nurasu nurasu kedo\But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo response:	watashi wo sora e maneku yo
context: But when the dawn emerges in silence\But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo response:	Hope awaits on the other side
context: But when the dawn emerges in silence\yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side response:	Hope awaits on the other side
context: yoake no kehai ga shizuka ni michite\yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side response:	kibou ga kanata de matteru
context: yoake no kehai ga shizuka ni michite\And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru response:	kibou ga kanata de matteru
context: And carries me up into the skies\And carries me up into the skies\watashi wo sora e maneku yo\watashi wo sora e maneku yo\Hope awaits on the other side\Hope awaits on the other side\kibou ga kanata de matteru\kibou ga kanata de matteru response:	So here I go
