context: Shisuda Municipal Elementary School response:	My name is Gouda Takeo.
context: Shisuda Municipal Elementary School\My name is Gouda Takeo. response:	I may not look like it, but I'm a first-year in high school.
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school. response:	He's my friend, Sunakawa Makoto.
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto. response:	I call him Suna.
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna. response:	We live next to each other,
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other, response:	and we've known each other since kindergarten.
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other,\and we've known each other since kindergarten. response:	Achoo!
context: Shisuda Municipal Elementary School\My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other,\and we've known each other since kindergarten.\Achoo! response:	Why are we friends, you ask?
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other,\and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask? response:	I'm not really sure myself.
context: I may not look like it, but I'm a first-year in high school.\He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other,\and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask?\I'm not really sure myself. response:	Hey.
context: He's my friend, Sunakawa Makoto.\I call him Suna.\We live next to each other,\and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask?\I'm not really sure myself.\Hey. response:	That guy... Isn't he kinda sketchy?
context: I call him Suna.\We live next to each other,\and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask?\I'm not really sure myself.\Hey.\That guy... Isn't he kinda sketchy? response:	I wonder if he's up to something.
context: We live next to each other,\and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask?\I'm not really sure myself.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something. response:	Get off this train at the next station!
context: and we've known each other since kindergarten.\Achoo!\Why are we friends, you ask?\I'm not really sure myself.\Hey.\That guy... Isn't he kinda sketchy?\I wonder if he's up to something.\Get off this train at the next station! response:	Thank you.
