context: What are you doing?! response:	You looked cold, so I thought I'd be a blanket for you.
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you. response:	Since I am your familiar.
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar. response:	I don't need that!
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that! response:	It's been like this ever since Lucoa came here.
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here. response:	Whenever I'm home, she's glued to me.
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me. response:	I'm a man, too, you know!
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know! response:	All right!
context: What are you doing?!\You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right! response:	I have to take back control!
context: You looked cold, so I thought I'd be a blanket for you.\Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right!\I have to take back control! response:	I'll teach her who's boss!
context: Since I am your familiar.\I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right!\I have to take back control!\I'll teach her who's boss! response:	I'll uncover her weakness.
context: I don't need that!\It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right!\I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness. response:	Now, then.
context: It's been like this ever since Lucoa came here.\Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right!\I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness.\Now, then. response:	Being naked really is the most comfortable.
context: Whenever I'm home, she's glued to me.\I'm a man, too, you know!\All right!\I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable. response:	What is she doing?!
context: I'm a man, too, you know!\All right!\I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable.\What is she doing?! response:	Ah, I really do hate clothes.
context: All right!\I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes. response:	That sure is a shortcoming.
context: I have to take back control!\I'll teach her who's boss!\I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming. response:	Lucoa, Lucoa.
context: I'll teach her who's boss!\I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa. response:	Hmm?
context: I'll uncover her weakness.\Now, then.\Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa.\Hmm? response:	What is it, Shouta-kun?
context: Now, then.\Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun? response:	Here, take this!
context: Being naked really is the most comfortable.\What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun?\Here, take this! response:	Huh?
context: What is she doing?!\Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun?\Here, take this!\Huh? response:	Your master commands you!
context: Ah, I really do hate clothes.\That sure is a shortcoming.\Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun?\Here, take this!\Huh?\Your master commands you! response:	Wear those clothes!
context: That sure is a shortcoming.\Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun?\Here, take this!\Huh?\Your master commands you!\Wear those clothes! response:	Now, feel uncomfortable and weep for it to end!
context: Lucoa, Lucoa.\Hmm?\What is it, Shouta-kun?\Here, take this!\Huh?\Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end! response:	I tried it on.
context: Hmm?\What is it, Shouta-kun?\Here, take this!\Huh?\Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on. response:	Thank you for the present.
context: What is it, Shouta-kun?\Here, take this!\Huh?\Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present. response:	Shit. Onto something else.
context: Here, take this!\Huh?\Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present.\Shit. Onto something else. response:	How will she handle something bitter?
context: Huh?\Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present.\Shit. Onto something else.\How will she handle something bitter? response:	Black Coffee
context: Your master commands you!\Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present.\Shit. Onto something else.\How will she handle something bitter?\Black Coffee response:	Thank you.
context: Wear those clothes!\Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present.\Shit. Onto something else.\How will she handle something bitter?\Black Coffee\Thank you. response:	I'm the one who can't stand that!
context: Now, feel uncomfortable and weep for it to end!\I tried it on.\Thank you for the present.\Shit. Onto something else.\How will she handle something bitter?\Black Coffee\Thank you.\I'm the one who can't stand that! response:	What about our neighbor's scary dog?
context: I tried it on.\Thank you for the present.\Shit. Onto something else.\How will she handle something bitter?\Black Coffee\Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog? response:	Again, I'm the one who's scared of that!
context: Thank you for the present.\Shit. Onto something else.\How will she handle something bitter?\Black Coffee\Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that! response:	I'm going to be the greatest mage.
context: Shit. Onto something else.\How will she handle something bitter?\Black Coffee\Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage. response:	I have to have perfect control over my familiar.
context: How will she handle something bitter?\Black Coffee\Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar. response:	I'm sorry!
context: Black Coffee\Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry! response:	Lucoa-san's weaknesses?
context: Thank you.\I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses? response:	Yeah.
context: I'm the one who can't stand that!\What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses?\Yeah. response:	In that case, I know something good.
context: What about our neighbor's scary dog?\Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses?\Yeah.\In that case, I know something good. response:	Really?
context: Again, I'm the one who's scared of that!\I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses?\Yeah.\In that case, I know something good.\Really? response:	Her weakness is those breasts of hers!
context: I'm going to be the greatest mage.\I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses?\Yeah.\In that case, I know something good.\Really?\Her weakness is those breasts of hers! response:	It's hard for her dodge attacks with those.
context: I have to have perfect control over my familiar.\I'm sorry!\Lucoa-san's weaknesses?\Yeah.\In that case, I know something good.\Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those. response:	I don't mean combat weaknesses!
context: I'm sorry!\Lucoa-san's weaknesses?\Yeah.\In that case, I know something good.\Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses! response:	Hmm, in that case, probably liquor.
context: Lucoa-san's weaknesses?\Yeah.\In that case, I know something good.\Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor. response:	Liquor?
context: Yeah.\In that case, I know something good.\Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor? response:	Didn't Lucoa-san say she could hold her liquor well?
context: In that case, I know something good.\Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well? response:	Well, she can hold her alcohol well.
context: Really?\Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well. response:	But it's not that. It's that she's a sucker for liquor.
context: Her weakness is those breasts of hers!\It's hard for her dodge attacks with those.\I don't mean combat weaknesses!\Hmm, in that case, probably liquor.\Liquor?\Didn't Lucoa-san say she could hold her liquor well?\Well, she can hold her alcohol well.\But it's not that. It's that she's a sucker for liquor. response:	She's usually well guarded, but she'll drink liquor without caution.
