context: Hey, have you heard? response:	There's a Quiz Competition coming up.
context: Hey, have you heard?\There's a Quiz Competition coming up. response:	Is that the one this Sunday?
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday? response:	Yeah!
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah! response:	You can only enter in pairs, right?
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah!\You can only enter in pairs, right? response:	Oh, you're going to enter with Yamazaki, then?
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then? response:	Umm'
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm' response:	He keeps joking with his lies,
context: Hey, have you heard?\There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies, response:	but it seems he's good at quizzes.
context: There's a Quiz Competition coming up.\Is that the one this Sunday?\Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies,\but it seems he's good at quizzes. response:	How about you, Sakura?
context: Is that the one this Sunday?\Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura? response:	Eh?
context: Yeah!\You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura?\Eh? response:	Quiz Competition, huh?
context: You can only enter in pairs, right?\Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura?\Eh?\Quiz Competition, huh? response:	I don't have cleaning duty next Sunday'
context: Oh, you're going to enter with Yamazaki, then?\Umm'\He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura?\Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday' response:	Maybe I should ask Tomoyo.
context: Umm'\He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura?\Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo. response:	I'm looking forward to it!
context: He keeps joking with his lies,\but it seems he's good at quizzes.\How about you, Sakura?\Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it! response:	Tomoeda Town Quiz Rally
context: but it seems he's good at quizzes.\How about you, Sakura?\Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally response:	Sakura? What's wrong?
context: How about you, Sakura?\Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong? response:	It's this, right?
context: Eh?\Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right? response:	Tomoeda Town Quiz Rally.
context: Quiz Competition, huh?\I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally. response:	Sounds fun, doesn't it?
context: I don't have cleaning duty next Sunday'\Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it? response:	It's some kind of trivia thing?
context: Maybe I should ask Tomoyo.\I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing? response:	Let's see'
context: I'm looking forward to it!\Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see' response:	This year's Quiz Competition'
context: Tomoeda Town Quiz Rally\Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see'\This year's Quiz Competition' response:	'is meant to encourage a greater understanding of Tomoeda.
context: Sakura? What's wrong?\It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda. response:	There will be a number of questions each leading
context: It's this, right?\Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading response:	To a hidden location.
context: Tomoeda Town Quiz Rally.\Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location. response:	We will present a magnificent trophy to the champion.
context: Sounds fun, doesn't it?\It's some kind of trivia thing?\Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion. response:	A trophy!
context: It's some kind of trivia thing?\Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion.\A trophy! response:	Wah!
context: Let's see'\This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion.\A trophy!\Wah! response:	To promote teamwork,
context: This year's Quiz Competition'\'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion.\A trophy!\Wah!\To promote teamwork, response:	we will only accept teams of two.
context: 'is meant to encourage a greater understanding of Tomoeda.\There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion.\A trophy!\Wah!\To promote teamwork,\we will only accept teams of two. response:	So you're going with Yamazaki, right?
context: There will be a number of questions each leading\To a hidden location.\We will present a magnificent trophy to the champion.\A trophy!\Wah!\To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right? response:	I'm a little worried, but'
context: To a hidden location.\We will present a magnificent trophy to the champion.\A trophy!\Wah!\To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but' response:	Sakura, are you entering?
context: We will present a magnificent trophy to the champion.\A trophy!\Wah!\To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering? response:	I'll go root for you!
context: A trophy!\Wah!\To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering?\I'll go root for you! response:	Me, too!
context: Wah!\To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering?\I'll go root for you!\Me, too! response:	Tomoyo, wanna enter together?
context: To promote teamwork,\we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering?\I'll go root for you!\Me, too!\Tomoyo, wanna enter together? response:	I'd be delighted!
context: we will only accept teams of two.\So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering?\I'll go root for you!\Me, too!\Tomoyo, wanna enter together?\I'd be delighted! response:	But
context: So you're going with Yamazaki, right?\I'm a little worried, but'\Sakura, are you entering?\I'll go root for you!\Me, too!\Tomoyo, wanna enter together?\I'd be delighted!\But response:	if I'm a contestant,
context: I'm a little worried, but'\Sakura, are you entering?\I'll go root for you!\Me, too!\Tomoyo, wanna enter together?\I'd be delighted!\But\if I'm a contestant, response:	I won't be able to capture it on video.
context: Sakura, are you entering?\I'll go root for you!\Me, too!\Tomoyo, wanna enter together?\I'd be delighted!\But\if I'm a contestant,\I won't be able to capture it on video. response:	To get nice shots of Sakura'
context: I'll go root for you!\Me, too!\Tomoyo, wanna enter together?\I'd be delighted!\But\if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura' response:	That's my goal!
context: Me, too!\Tomoyo, wanna enter together?\I'd be delighted!\But\if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal! response:	How about entering with me?
context: Tomoyo, wanna enter together?\I'd be delighted!\But\if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal!\How about entering with me? response:	Eh?
context: I'd be delighted!\But\if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal!\How about entering with me?\Eh? response:	Yukito!
context: But\if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal!\How about entering with me?\Eh?\Yukito! response:	You mean it?!
context: if I'm a contestant,\I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal!\How about entering with me?\Eh?\Yukito!\You mean it?! response:	Isn't that great, Sakura?
context: I won't be able to capture it on video.\To get nice shots of Sakura'\That's my goal!\How about entering with me?\Eh?\Yukito!\You mean it?!\Isn't that great, Sakura? response:	The Tomoeda Town Quiz Competition, huh?
context: To get nice shots of Sakura'\That's my goal!\How about entering with me?\Eh?\Yukito!\You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh? response:	Sounds like fun.
context: That's my goal!\How about entering with me?\Eh?\Yukito!\You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun. response:	Yep!
context: How about entering with me?\Eh?\Yukito!\You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep! response:	I'm going to enter with Yukito.
context: Eh?\Yukito!\You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep!\I'm going to enter with Yukito. response:	What about you, Touya?
context: Yukito!\You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep!\I'm going to enter with Yukito.\What about you, Touya? response:	Part-time job.
context: You mean it?!\Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep!\I'm going to enter with Yukito.\What about you, Touya?\Part-time job. response:	We'll win and bring back the magnificent trophy!
context: Isn't that great, Sakura?\The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep!\I'm going to enter with Yukito.\What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy! response:	I'll be looking forward to it.
context: The Tomoeda Town Quiz Competition, huh?\Sounds like fun.\Yep!\I'm going to enter with Yukito.\What about you, Touya?\Part-time job.\We'll win and bring back the magnificent trophy!\I'll be looking forward to it. response:	But don't get hurt trying too hard.
