context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton response:	Anime-Koi Fansubs
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs response:	The Deity is Kidnapped
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped response:	sign:We'll be right back!
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back! response:	sign:And we're back!
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back! response:	Next Episode Preview
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back!\Next Episode Preview response:	The Deity Loses her Home
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back!\Next Episode Preview\The Deity Loses her Home response:	sign:The Deity Loses her Home
context: Translation: MoeJoTranslation check: WinterreiseEditing: Minami_Typsetting: LaytonEncoding: Layton\Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back!\Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home response:	The Deity is Kidnapped
context: Anime-Koi Fansubs\The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back!\Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped response:	sign: Beverly Hills High School Diary
context: The Deity is Kidnapped\sign:We'll be right back!\sign:And we're back!\Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary response:	Beverly Hills
context: sign:We'll be right back!\sign:And we're back!\Next Episode Preview\The Deity Loses her Home\sign:The Deity Loses her Home\The Deity is Kidnapped\sign: Beverly Hills High School Diary\Beverly Hills response:	sign:Beverly Hills
