context: Signs response:	OP
context: Signs\OP response:	Are you still going to pilot it?
context: Signs\OP\Are you still going to pilot it? response:	No, I don't think so.
context: Signs\OP\Are you still going to pilot it?\No, I don't think so. response:	Why?
context: Signs\OP\Are you still going to pilot it?\No, I don't think so.\Why? response:	People will just hate me even more.
context: Signs\OP\Are you still going to pilot it?\No, I don't think so.\Why?\People will just hate me even more. response:	I've never done anything wrong,
context: Signs\OP\Are you still going to pilot it?\No, I don't think so.\Why?\People will just hate me even more.\I've never done anything wrong, response:	but people have always treated me like a foreigner and hated me.
context: Signs\OP\Are you still going to pilot it?\No, I don't think so.\Why?\People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me. response:	I accepted it and thought it made sense.
context: OP\Are you still going to pilot it?\No, I don't think so.\Why?\People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense. response:	But I've had enough.
context: Are you still going to pilot it?\No, I don't think so.\Why?\People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough. response:	Ao...
context: No, I don't think so.\Why?\People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough.\Ao... response:	I'm already in junior high, after all.
context: Why?\People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough.\Ao...\I'm already in junior high, after all. response:	Oh! Rotten Tuna uploaded a new song!
context: People will just hate me even more.\I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough.\Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song! response:	Hold your horses! I'm coming!
context: I've never done anything wrong,\but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough.\Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming! response:	Fleur, don't just sit there!
context: but people have always treated me like a foreigner and hated me.\I accepted it and thought it made sense.\But I've had enough.\Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there! response:	I update my blog where I please!
context: I accepted it and thought it made sense.\But I've had enough.\Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please! response:	Chief, please answer if it's ringing.
context: But I've had enough.\Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing. response:	I poured too much coffee, so I don't have a free hand.
context: Ao...\I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand. response:	This is the Triton. What is it?
context: I'm already in junior high, after all.\Oh! Rotten Tuna uploaded a new song!\Hold your horses! I'm coming!\Fleur, don't just sit there!\I update my blog where I please!\Chief, please answer if it's ringing.\I poured too much coffee, so I don't have a free hand.\This is the Triton. What is it? response:	I'm sorry...
