context: Why am I being so indecisive about this? response:	Well, I'll be going now, Ayumi.
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi. response:	Good morning.
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning. response:	Y-Yeah, morning.
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning. response:	Then, let's go.
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning.\Then, let's go. response:	Over here.
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning.\Then, let's go.\Over here. response:	Episode 9 The World is Not in Here
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning.\Then, let's go.\Over here.\Episode 9 The World is Not in Here response:	Isn't it a bit early compared to when the gig starts?
context: Why am I being so indecisive about this?\Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning.\Then, let's go.\Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts? response:	It's so I can buy goods from the gig.
context: Well, I'll be going now, Ayumi.\Good morning.\Y-Yeah, morning.\Then, let's go.\Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig. response:	You can't do that after it's over?
context: Good morning.\Y-Yeah, morning.\Then, let's go.\Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over? response:	Most of the popular merchandising sell out.
context: Y-Yeah, morning.\Then, let's go.\Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out. response:	I guess that's how things go?
context: Then, let's go.\Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go? response:	In any case, you're a pretty big fangirl.
context: Over here.\Episode 9 The World is Not in Here\Isn't it a bit early compared to when the gig starts?\It's so I can buy goods from the gig.\You can't do that after it's over?\Most of the popular merchandising sell out.\I guess that's how things go?\In any case, you're a pretty big fangirl. response:	If that's so, you should have just met Sala yesterday.
