context: During the two weeks that Nana was gone, response:	I took on extra work, so I'd be busy every day,
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day, response:	and worked until I was absolutely exhausted.
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted. response:	I did this to keep my mind off of how lonely I was.
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was. response:	Yet I went to the practice sessions at the studio without fail.
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail. response:	Then Nobu would always walk me home.
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home. response:	I hadn't heard from Takumi at all.
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all. response:	Blinking eyes call the wind
context: During the two weeks that Nana was gone,\I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind response:	A smile clears all the noise away
context: I took on extra work, so I'd be busy every day,\and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: and worked until I was absolutely exhausted.\I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: I did this to keep my mind off of how lonely I was.\Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: Yet I went to the practice sessions at the studio without fail.\Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: Then Nobu would always walk me home.\I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: I hadn't heard from Takumi at all.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
