context: There you go, making that face again, response:	biting onto your lips.
context: There you go, making that face again,\biting onto your lips. response:	You're hiding your weak side,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side, response:	but deep in those eyes,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes, response:	I can see you cowering.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering. response:	If you had a true heart,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart, response:	you would care, cry, call for someone and worry.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry. response:	Why are you holding onto the pain?
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain? response:	Share some of it with me.
context: biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me. response:	If you don't think it's possible right away,
context: You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away, response:	you can do it slowly, bit by bit.
context: but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit. response:	We don't have wings,
context: I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings, response:	but I'm sure we're only finding times that we can't fly.
context: If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly. response:	I'll call for you to the limits of my voice
context: you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice response:	so that you won't get lost.
context: Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost. response:	Soar up to the sky with your gentle heart,
context: Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart, response:	ride on that wind, and get it all at once.
context: If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once. response:	Hello.
context: you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello. response:	Did you come by to see the fireflies?
context: We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies? response:	Yes.
context: but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies?\Yes. response:	I heard that it was almost the season for them.
context: I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them. response:	I see.
context: so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them.\I see. response:	It seems you were a bit too early, time and season-wise.
context: Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them.\I see.\It seems you were a bit too early, time and season-wise. response:	Their numbers have dropped too.
context: ride on that wind, and get it all at once.\Hello.\Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them.\I see.\It seems you were a bit too early, time and season-wise.\Their numbers have dropped too. response:	Is that so?
context: Hello.\Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them.\I see.\It seems you were a bit too early, time and season-wise.\Their numbers have dropped too.\Is that so? response:	Well then, excuse me.
context: Did you come by to see the fireflies?\Yes.\I heard that it was almost the season for them.\I see.\It seems you were a bit too early, time and season-wise.\Their numbers have dropped too.\Is that so?\Well then, excuse me. response:	I wonder if she possessed him.
context: Yes.\I heard that it was almost the season for them.\I see.\It seems you were a bit too early, time and season-wise.\Their numbers have dropped too.\Is that so?\Well then, excuse me.\I wonder if she possessed him. response:	Seems so.
