context: Sugane, we're counting on you. response:	Okay.
context: Sugane, we're counting on you.\Okay. response:	Also, the newbie's starting today.
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today. response:	Understood.
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today.\Understood. response:	I'll be going, then.
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today.\Understood.\I'll be going, then. response:	All right. Take care.
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today.\Understood.\I'll be going, then.\All right. Take care. response:	What is the matter?
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today.\Understood.\I'll be going, then.\All right. Take care.\What is the matter? response:	I have a stomach ache.
context: Sugane, we're counting on you.\Okay.\Also, the newbie's starting today.\Understood.\I'll be going, then.\All right. Take care.\What is the matter?\I have a stomach ache. response:	Please stay calm and look at the information.
context: Okay.\Also, the newbie's starting today.\Understood.\I'll be going, then.\All right. Take care.\What is the matter?\I have a stomach ache.\Please stay calm and look at the information. response:	Would you like to match? Yes No
context: Also, the newbie's starting today.\Understood.\I'll be going, then.\All right. Take care.\What is the matter?\I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No response:	Excuse me, you should give her your seat.
context: Understood.\I'll be going, then.\All right. Take care.\What is the matter?\I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat. response:	Huh?
context: I'll be going, then.\All right. Take care.\What is the matter?\I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh? response:	What the hell?
context: All right. Take care.\What is the matter?\I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh?\What the hell? response:	The jerk thinks he's so cool.
context: What is the matter?\I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh?\What the hell?\The jerk thinks he's so cool. response:	Thank you.
context: I have a stomach ache.\Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh?\What the hell?\The jerk thinks he's so cool.\Thank you. response:	No problem.
context: Please stay calm and look at the information.\Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh?\What the hell?\The jerk thinks he's so cool.\Thank you.\No problem. response:	Target is on the move toward Tachikawa station.
context: Would you like to match? Yes No\Excuse me, you should give her your seat.\Huh?\What the hell?\The jerk thinks he's so cool.\Thank you.\No problem.\Target is on the move toward Tachikawa station. response:	It is as stated in the prophecy.
context: Excuse me, you should give her your seat.\Huh?\What the hell?\The jerk thinks he's so cool.\Thank you.\No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy. response:	There will be moving steps south-southwest of the box.
context: Huh?\What the hell?\The jerk thinks he's so cool.\Thank you.\No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box. response:	Tachikawa Station North Exit
context: What the hell?\The jerk thinks he's so cool.\Thank you.\No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit response:	Steps?
context: The jerk thinks he's so cool.\Thank you.\No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps? response:	A nameless chaos shall appear once more.
context: Thank you.\No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more. response:	Target has passed the fourth floor.
context: No problem.\Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor. response:	I'm counting on you, Sugane...
context: Target is on the move toward Tachikawa station.\It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane... response:	All right! Let's do this!
context: It is as stated in the prophecy.\There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this! response:	So... cute...
context: There will be moving steps south-southwest of the box.\Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this!\So... cute... response:	There she goes again.
context: Tachikawa Station North Exit\Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this!\So... cute...\There she goes again. response:	Hajime really likes her planners.
context: Steps?\A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this!\So... cute...\There she goes again.\Hajime really likes her planners. response:	She's always fiddling with them.
context: A nameless chaos shall appear once more.\Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this!\So... cute...\There she goes again.\Hajime really likes her planners.\She's always fiddling with them. response:	Look! I got another one yesterday!
context: Target has passed the fourth floor.\I'm counting on you, Sugane...\All right! Let's do this!\So... cute...\There she goes again.\Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday! response:	What?!
context: I'm counting on you, Sugane...\All right! Let's do this!\So... cute...\There she goes again.\Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday!\What?! response:	What are you going to do with so many?
context: All right! Let's do this!\So... cute...\There she goes again.\Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday!\What?!\What are you going to do with so many? response:	Well, you see,
context: So... cute...\There she goes again.\Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday!\What?!\What are you going to do with so many?\Well, you see, response:	this one is for planning school stuff.
context: There she goes again.\Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday!\What?!\What are you going to do with so many?\Well, you see,\this one is for planning school stuff. response:	This one is for planning personal stuff,
context: Hajime really likes her planners.\She's always fiddling with them.\Look! I got another one yesterday!\What?!\What are you going to do with so many?\Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff, response:	and this one's for writing down random thoughts.
context: She's always fiddling with them.\Look! I got another one yesterday!\What?!\What are you going to do with so many?\Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts. response:	As for this one, he's just to admire.
context: Look! I got another one yesterday!\What?!\What are you going to do with so many?\Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire. response:	He?
context: What?!\What are you going to do with so many?\Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire.\He? response:	As for this newbie,
context: What are you going to do with so many?\Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire.\He?\As for this newbie, response:	I wonder how I should pretty you up...
context: Well, you see,\this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire.\He?\As for this newbie,\I wonder how I should pretty you up... response:	What?
context: this one is for planning school stuff.\This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire.\He?\As for this newbie,\I wonder how I should pretty you up...\What? response:	Oh, if that's the case...
context: This one is for planning personal stuff,\and this one's for writing down random thoughts.\As for this one, he's just to admire.\He?\As for this newbie,\I wonder how I should pretty you up...\What?\Oh, if that's the case... response:	Hey, why don't we go lie in the sun together?
context: and this one's for writing down random thoughts.\As for this one, he's just to admire.\He?\As for this newbie,\I wonder how I should pretty you up...\What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together? response:	Hey, did you see yesterday's TV special on the supernatural?
context: As for this one, he's just to admire.\He?\As for this newbie,\I wonder how I should pretty you up...\What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural? response:	Yeah, I did.
context: He?\As for this newbie,\I wonder how I should pretty you up...\What?\Oh, if that's the case...\Hey, why don't we go lie in the sun together?\Hey, did you see yesterday's TV special on the supernatural?\Yeah, I did. response:	I can accept aliens,
