context: Oh, this is fun, isn't it? response:	Now try that kapow-kapow.
context: Oh, this is fun, isn't it?\Now try that kapow-kapow. response:	What?
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What? response:	I'm not sure if I remember it.
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What?\I'm not sure if I remember it. response:	When did you learn Kurusu's move?
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What?\I'm not sure if I remember it.\When did you learn Kurusu's move? response:	The Corpseless are good at copying others.
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What?\I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others. response:	How does it feel seeing his swordsmanship be as good as yours?
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What?\I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours? response:	What was that for?!
context: Oh, this is fun, isn't it?\Now try that kapow-kapow.\What?\I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?! response:	Do not flatter yourself for copying one move.
context: Now try that kapow-kapow.\What?\I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move. response:	Wow, that was so childish.
context: What?\I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish. response:	You're pretty closed minded, aren't you?
context: I'm not sure if I remember it.\When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you? response:	What?!
context: When did you learn Kurusu's move?\The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you?\What?! response:	Ikoma, you steal that move too...
context: The Corpseless are good at copying others.\How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too... response:	Got it.
context: How does it feel seeing his swordsmanship be as good as yours?\What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too...\Got it. response:	What?!
context: What was that for?!\Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too...\Got it.\What?! response:	I see the station!
context: Do not flatter yourself for copying one move.\Wow, that was so childish.\You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too...\Got it.\What?!\I see the station! response:	It's Shitori Station.
context: Wow, that was so childish.\You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too...\Got it.\What?!\I see the station!\It's Shitori Station. response:	What's going to happen this time?
context: You're pretty closed minded, aren't you?\What?!\Ikoma, you steal that move too...\Got it.\What?!\I see the station!\It's Shitori Station.\What's going to happen this time? response:	There are people!
context: What?!\Ikoma, you steal that move too...\Got it.\What?!\I see the station!\It's Shitori Station.\What's going to happen this time?\There are people! response:	Finally! A station with people in it!
context: Ikoma, you steal that move too...\Got it.\What?!\I see the station!\It's Shitori Station.\What's going to happen this time?\There are people!\Finally! A station with people in it! response:	Heeey!
context: Got it.\What?!\I see the station!\It's Shitori Station.\What's going to happen this time?\There are people!\Finally! A station with people in it!\Heeey! response:	We can rest easy for a bit now.
context: What?!\I see the station!\It's Shitori Station.\What's going to happen this time?\There are people!\Finally! A station with people in it!\Heeey!\We can rest easy for a bit now. response:	Yeah.
context: I see the station!\It's Shitori Station.\What's going to happen this time?\There are people!\Finally! A station with people in it!\Heeey!\We can rest easy for a bit now.\Yeah. response:	Are you human or a Corpse?!
context: It's Shitori Station.\What's going to happen this time?\There are people!\Finally! A station with people in it!\Heeey!\We can rest easy for a bit now.\Yeah.\Are you human or a Corpse?! response:	I'm neither!
