context: jou jou yuu jou ban jin ma ji kai chou response:	hai! i ccha i ma shou!
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou! response:	ki mi wa best best friend
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend response:	(furai!) cho tto fu za ke te mi ta ra
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra response:	(La La La)
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La) response:	(faito!) ke n ka shi cha tta to ki mo
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo response:	sa su ga sai kou friend
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend response:	wa ke wa ka nnai nai
context: jou jou yuu jou ban jin ma ji kai chou\hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai response:	jou jou yuu jou ban jin ma ji kai chou
context: hai! i ccha i ma shou!\ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou response:	cha cha la cha la cha cha
context: ki mi wa best best friend\(furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha response:	(!) S
context: (furai!) cho tto fu za ke te mi ta ra\(La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S response:	(!)
context: (La La La)\(faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S\(!) response:	(!)
context: (faito!) ke n ka shi cha tta to ki mo\sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S\(!)\(!) response:	(!) H
context: sa su ga sai kou friend\wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S\(!)\(!)\(!) H response:	(!)
context: wa ke wa ka nnai nai\jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S\(!)\(!)\(!) H\(!) response:	(!)
context: jou jou yuu jou ban jin ma ji kai chou\cha cha la cha la cha cha\(!) S\(!)\(!)\(!) H\(!)\(!) response:	friend
context: cha cha la cha la cha cha\(!) S\(!)\(!)\(!) H\(!)\(!)\friend response:	Hey!
context: (!) S\(!)\(!)\(!) H\(!)\(!)\friend\Hey! response:	( !)
context: (!)\(!)\(!) H\(!)\(!)\friend\Hey!\( !) response:	Amazing friendship, the absolute best!
context: (!)\(!) H\(!)\(!)\friend\Hey!\( !)\Amazing friendship, the absolute best! response:	All right! I'll say it!
context: (!) H\(!)\(!)\friend\Hey!\( !)\Amazing friendship, the absolute best!\All right! I'll say it! response:	You are my best, best friend!
context: (!)\(!)\friend\Hey!\( !)\Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend! response:	(Fly!) When I joke around a bit,
context: (!)\friend\Hey!\( !)\Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend!\(Fly!) When I joke around a bit, response:	(Shine!) You joke around more in response.
context: friend\Hey!\( !)\Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend!\(Fly!) When I joke around a bit,\(Shine!) You joke around more in response. response:	(La La La) Nothing is better than this!
context: Hey!\( !)\Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend!\(Fly!) When I joke around a bit,\(Shine!) You joke around more in response.\(La La La) Nothing is better than this! response:	(Why!) Even if something bad happens,
context: ( !)\Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend!\(Fly!) When I joke around a bit,\(Shine!) You joke around more in response.\(La La La) Nothing is better than this!\(Why!) Even if something bad happens, response:	(Fine!) I immediately forget about it!
context: Amazing friendship, the absolute best!\All right! I'll say it!\You are my best, best friend!\(Fly!) When I joke around a bit,\(Shine!) You joke around more in response.\(La La La) Nothing is better than this!\(Why!) Even if something bad happens,\(Fine!) I immediately forget about it! response:	(La La La)
