context: Aye! I'm reporting live from E-Land! response:	Can everyone see this?
context: Aye! I'm reporting live from E-Land!\Can everyone see this? response:	I can't believe there's an amusement park in the middle of Edolas's castle!
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle! response:	How whacked-out is this King anyway?
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway? response:	It's not all fun, either. You'll encounter many things...
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things... response:	Everyone check out all the different kinds of attractions!
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions! response:	Edolas.
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas. response:	It is a world which is losing its magic.
context: Aye! I'm reporting live from E-Land!\Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic. response:	The people live their lives with magic as a limited commodity.
context: Can everyone see this?\I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity. response:	All Wizard Guilds have been disbanded,
context: I can't believe there's an amusement park in the middle of Edolas's castle!\How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded, response:	but there are still those who resist and continue on.
context: How whacked-out is this King anyway?\It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on. response:	And their name is the Dark Guild, Fairy Tail!
context: It's not all fun, either. You'll encounter many things...\Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail! response:	And now the curtain has risen
context: Everyone check out all the different kinds of attractions!\Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen response:	on the battle between the Fairy Tail wizards that came from Earthland,
context: Edolas.\It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland, response:	and the Magic Regiments of the Royal Army!
context: It is a world which is losing its magic.\The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army! response:	Do you return to your cells, or die here?
context: The people live their lives with magic as a limited commodity.\All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here? response:	Sugar Boy, we don't have to give them the choice.
context: All Wizard Guilds have been disbanded,\but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice. response:	Oh, yeah?
context: but there are still those who resist and continue on.\And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah? response:	We've finished extracting the dragon's magic power.
context: And their name is the Dark Guild, Fairy Tail!\And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power. response:	If Code ETD is a success, we'll have no need for the Dragon Slayers.
context: And now the curtain has risen\on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers. response:	You Earthlanders with no concept of the value of magic will die here!
context: on the battle between the Fairy Tail wizards that came from Earthland,\and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here! response:	The ship?!
context: and the Magic Regiments of the Royal Army!\Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?! response:	It's Life!!!
context: Do you return to your cells, or die here?\Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!! response:	An ice shield?
context: Sugar Boy, we don't have to give them the choice.\Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!!\An ice shield? response:	So, this is Earthland magic?
context: Oh, yeah?\We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!!\An ice shield?\So, this is Earthland magic? response:	You really don't use tools, do you?
context: We've finished extracting the dragon's magic power.\If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!!\An ice shield?\So, this is Earthland magic?\You really don't use tools, do you? response:	I've never seen it before.
context: If Code ETD is a success, we'll have no need for the Dragon Slayers.\You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!!\An ice shield?\So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before. response:	There's flames around his legs!
context: You Earthlanders with no concept of the value of magic will die here!\The ship?!\It's Life!!!\An ice shield?\So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before.\There's flames around his legs! response:	Here I come!
context: The ship?!\It's Life!!!\An ice shield?\So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before.\There's flames around his legs!\Here I come! response:	Return our friends!
context: It's Life!!!\An ice shield?\So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before.\There's flames around his legs!\Here I come!\Return our friends! response:	Friends?
context: An ice shield?\So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before.\There's flames around his legs!\Here I come!\Return our friends!\Friends? response:	Your friends will mix with Extalia's magic,
context: So, this is Earthland magic?\You really don't use tools, do you?\I've never seen it before.\There's flames around his legs!\Here I come!\Return our friends!\Friends?\Your friends will mix with Extalia's magic, response:	and become an eternal supply of magic power!
context: You really don't use tools, do you?\I've never seen it before.\There's flames around his legs!\Here I come!\Return our friends!\Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power! response:	Why're you still blabbing about that? I said we ain't gonna let you!
context: I've never seen it before.\There's flames around his legs!\Here I come!\Return our friends!\Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you! response:	Natsu, behind you!
context: There's flames around his legs!\Here I come!\Return our friends!\Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you! response:	What's this?
context: Here I come!\Return our friends!\Friends?\Your friends will mix with Extalia's magic,\and become an eternal supply of magic power!\Why're you still blabbing about that? I said we ain't gonna let you!\Natsu, behind you!\What's this? response:	We're sinking into the floor?
