context: Jellal Fernandez... response:	I hereby place you under arrest for the crime of high treason against the state.
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state. response:	Please, wait!
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait! response:	A Guild for Only One.
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One. response:	Jellal has lost his memories!
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One.\Jellal has lost his memories! response:	He doesn't remember a thing!
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing! response:	By clause 13 of the criminal code, that is not a valid defense.
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense. response:	You can release them from the runes now.
context: Jellal Fernandez...\I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now. response:	But...!
context: I hereby place you under arrest for the crime of high treason against the state.\Please, wait!\A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...! response:	It's okay. I have no intention of resisting.
context: Please, wait!\A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...!\It's okay. I have no intention of resisting. response:	I never was able to remember you...
context: A Guild for Only One.\Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...!\It's okay. I have no intention of resisting.\I never was able to remember you... response:	I am truly sorry, Wendy...
context: Jellal has lost his memories!\He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...!\It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy... response:	She tells me that long ago, she was saved by you.
context: He doesn't remember a thing!\By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...!\It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you. response:	I see.
context: By clause 13 of the criminal code, that is not a valid defense.\You can release them from the runes now.\But...!\It's okay. I have no intention of resisting.\I never was able to remember you...\I am truly sorry, Wendy...\She tells me that long ago, she was saved by you.\I see. response:	I do not know how much suffering I must have caused all of you.
