context: Dragon Slayer's Secret Art! response:	Has she already mastered them both?!
context: Dragon Slayer's Secret Art!\Has she already mastered them both?! response:	There it is!
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is! response:	Go!
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is!\Go! response:	Wendy knows the Secret Art?!
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is!\Go!\Wendy knows the Secret Art?! response:	Incredible!
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is!\Go!\Wendy knows the Secret Art?!\Incredible! response:	She's as good as won.
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is!\Go!\Wendy knows the Secret Art?!\Incredible!\She's as good as won. response:	What is this?
context: Dragon Slayer's Secret Art!\Has she already mastered them both?!\There it is!\Go!\Wendy knows the Secret Art?!\Incredible!\She's as good as won.\What is this? response:	A magic wind barrier?
context: Has she already mastered them both?!\There it is!\Go!\Wendy knows the Secret Art?!\Incredible!\She's as good as won.\What is this?\A magic wind barrier? response:	You've sealed us inside!
context: There it is!\Go!\Wendy knows the Secret Art?!\Incredible!\She's as good as won.\What is this?\A magic wind barrier?\You've sealed us inside! response:	Light Burst: Sky Drill!
context: Go!\Wendy knows the Secret Art?!\Incredible!\She's as good as won.\What is this?\A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill! response:	Cheria!
context: Wendy knows the Secret Art?!\Incredible!\She's as good as won.\What is this?\A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill!\Cheria! response:	Yeah!
context: Incredible!\She's as good as won.\What is this?\A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill!\Cheria!\Yeah! response:	She did it!
context: She's as good as won.\What is this?\A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill!\Cheria!\Yeah!\She did it! response:	I haven't mastered Milky Way yet...
context: What is this?\A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill!\Cheria!\Yeah!\She did it!\I haven't mastered Milky Way yet... response:	I used all my magic...
context: A magic wind barrier?\You've sealed us inside!\Light Burst: Sky Drill!\Cheria!\Yeah!\She did it!\I haven't mastered Milky Way yet...\I used all my magic... response:	W-Well, well...
context: You've sealed us inside!\Light Burst: Sky Drill!\Cheria!\Yeah!\She did it!\I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well... response:	You were wonderful, Wendy.
context: Light Burst: Sky Drill!\Cheria!\Yeah!\She did it!\I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well...\You were wonderful, Wendy. response:	Maybe I went overboard...
context: Cheria!\Yeah!\She did it!\I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard... response:	But this way...
context: Yeah!\She did it!\I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard...\But this way... response:	Cheria's down!
context: She did it!\I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard...\But this way...\Cheria's down! response:	The winner, from Fairy Tail A...
context: I haven't mastered Milky Way yet...\I used all my magic...\W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard...\But this way...\Cheria's down!\The winner, from Fairy Tail A... response:	Sorry! Wait a second!
context: I used all my magic...\W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard...\But this way...\Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second! response:	I'm just getting started!
context: W-Well, well...\You were wonderful, Wendy.\Maybe I went overboard...\But this way...\Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started! response:	You're impressive, Wendy.
context: You were wonderful, Wendy.\Maybe I went overboard...\But this way...\Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy. response:	Are you okay? Want to give up?
context: Maybe I went overboard...\But this way...\Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up? response:	Aye, sir! The Grand Magic Games are really picking up steam!
context: But this way...\Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam! response:	Natsu's Fairy Tail Team A
context: Cheria's down!\The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A response:	was in eighth place for the qualifier, barely making it to the real games,
context: The winner, from Fairy Tail A...\Sorry! Wait a second!\I'm just getting started!\You're impressive, Wendy.\Are you okay? Want to give up?\Aye, sir! The Grand Magic Games are really picking up steam!\Natsu's Fairy Tail Team A\was in eighth place for the qualifier, barely making it to the real games, response:	and then they got creamed the first day.
