context: It's huge. response:	When Elder Tale was still a game, we came here a lot, but...
context: It's huge.\When Elder Tale was still a game, we came here a lot, but... response:	Yes, it looks quite different in person, my lord.
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord. response:	This is the Depths of Palm...
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm... response:	Reporting... No enemies in sight.
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight. response:	Okay, let's go on ahead, Shiro.
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro. response:	Right.
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right. response:	The Depths of Palm
context: It's huge.\When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm response:	The Depths of Palm.
context: When Elder Tale was still a game, we came here a lot, but...\Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm\The Depths of Palm. response:	It's been three days since we left Akihabara to save a girl named Serara,
context: Yes, it looks quite different in person, my lord.\This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara, response:	who'd been stranded in Susukino.
context: This is the Depths of Palm...\Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino. response:	Griffons come with usage restrictions.
context: Reporting... No enemies in sight.\Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions. response:	You can only ride them four hours a day.
context: Okay, let's go on ahead, Shiro.\Right.\The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day. response:	Even so, we've managed to travel a distance that would take two weeks by horse.
context: Right.\The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse. response:	The Tearstone Mountains...
context: The Depths of Palm\The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains... response:	My lord, look.
context: The Depths of Palm.\It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look. response:	Wyverns.
context: It's been three days since we left Akihabara to save a girl named Serara,\who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look.\Wyverns. response:	Just like we thought, Shiro.
context: who'd been stranded in Susukino.\Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look.\Wyverns.\Just like we thought, Shiro. response:	Yeah.
context: Griffons come with usage restrictions.\You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look.\Wyverns.\Just like we thought, Shiro.\Yeah. response:	Monsters spawn in the same areas as they did when it was a game.
context: You can only ride them four hours a day.\Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look.\Wyverns.\Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game. response:	We'll go underground as planned.
context: Even so, we've managed to travel a distance that would take two weeks by horse.\The Tearstone Mountains...\My lord, look.\Wyverns.\Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned. response:	The only way to reach Ezzo, where Susukino is located,
context: The Tearstone Mountains...\My lord, look.\Wyverns.\Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located, response:	is to go over these mountains, then cross the channel.
context: My lord, look.\Wyverns.\Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel. response:	Walking will take time, and it's dangerous.
context: Wyverns.\Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous. response:	So we'll have to go underground.
context: Just like we thought, Shiro.\Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground. response:	H-Hey, stop!
context: Yeah.\Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop! response:	It's huge.
context: Monsters spawn in the same areas as they did when it was a game.\We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop!\It's huge. response:	The Depths of Palm.
context: We'll go underground as planned.\The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop!\It's huge.\The Depths of Palm. response:	A complex maze of ancient tunnels and mine shafts.
context: The only way to reach Ezzo, where Susukino is located,\is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop!\It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts. response:	Once we're through, we'll be on the north side of the mountains.
context: is to go over these mountains, then cross the channel.\Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop!\It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains. response:	This is way more impressive than it looked on a monitor.
context: Walking will take time, and it's dangerous.\So we'll have to go underground.\H-Hey, stop!\It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor. response:	And it's so ancient, it's falling apart.
context: So we'll have to go underground.\H-Hey, stop!\It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart. response:	It wasn't this way in the game...
context: H-Hey, stop!\It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game... response:	My lord!
context: It's huge.\The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord! response:	The rat-men...
context: The Depths of Palm.\A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord!\The rat-men... response:	One of this world's many demihuman types.
context: A complex maze of ancient tunnels and mine shafts.\Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord!\The rat-men...\One of this world's many demihuman types. response:	Rat-man Rank/ Normal
context: Once we're through, we'll be on the north side of the mountains.\This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord!\The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal response:	They're low-level monsters, but they can spread plague.
context: This is way more impressive than it looked on a monitor.\And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord!\The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague. response:	They aren't attacking.
context: And it's so ancient, it's falling apart.\It wasn't this way in the game...\My lord!\The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking. response:	They instinctively know the differential between our levels, so we should be fine.
context: It wasn't this way in the game...\My lord!\The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine. response:	But when cornered, they're dangerous.
context: My lord!\The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous. response:	If we chase them anywhere narrow, or somewhere without an escape...
context: The rat-men...\One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape... response:	If we do...
context: One of this world's many demihuman types.\Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do... response:	They'll probably attack.
context: Rat-man Rank/ Normal\They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack. response:	Should we break through?
context: They're low-level monsters, but they can spread plague.\They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack.\Should we break through? response:	I'd like to avoid wasting time fighting.
context: They aren't attacking.\They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting. response:	And we don't want the plague debuff.
context: They instinctively know the differential between our levels, so we should be fine.\But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff. response:	Let's take another route.
context: But when cornered, they're dangerous.\If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route. response:	Yeah.
context: If we chase them anywhere narrow, or somewhere without an escape...\If we do...\They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route.\Yeah. response:	This area seems safe.
context: If we do...\They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route.\Yeah.\This area seems safe. response:	Yeah.
context: They'll probably attack.\Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route.\Yeah.\This area seems safe.\Yeah. response:	My lord, I just scouted the floor ahead.
context: Should we break through?\I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route.\Yeah.\This area seems safe.\Yeah.\My lord, I just scouted the floor ahead. response:	Thanks.
context: I'd like to avoid wasting time fighting.\And we don't want the plague debuff.\Let's take another route.\Yeah.\This area seems safe.\Yeah.\My lord, I just scouted the floor ahead.\Thanks. response:	Could you tell me what you saw?
context: And we don't want the plague debuff.\Let's take another route.\Yeah.\This area seems safe.\Yeah.\My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw? response:	I want to cross-reference with my map.
context: Let's take another route.\Yeah.\This area seems safe.\Yeah.\My lord, I just scouted the floor ahead.\Thanks.\Could you tell me what you saw?\I want to cross-reference with my map. response:	You're being too formal.
