context: Sewing Machine Cafe response:	There.
context: Sewing Machine Cafe\There. response:	Don't worry.
context: Sewing Machine Cafe\There.\Don't worry. response:	I promise... I'll never give you my blood.
context: Sewing Machine Cafe\There.\Don't worry.\I promise... I'll never give you my blood. response:	It was a silent night
context: Sewing Machine Cafe\There.\Don't worry.\I promise... I'll never give you my blood.\It was a silent night response:	Eclipse was beginnin'
context: Sewing Machine Cafe\There.\Don't worry.\I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: Sewing Machine Cafe\There.\Don't worry.\I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: Sewing Machine Cafe\There.\Don't worry.\I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: There.\Don't worry.\I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: Don't worry.\I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: I promise... I'll never give you my blood.\It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	The main PC is on the second floor.
context: Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\The main PC is on the second floor. response:	Ouroboros
context: We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\The main PC is on the second floor.\Ouroboros response:	We can boot it up and get the member list,
context: (Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list, response:	but it will take five minutes to unlock it.
context: Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love\The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it. response:	And five more to copy the file.
context: Licking each other's wounds\Defining each other's life\Thirsting for love\The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file. response:	So when will we be breaking into the CCC hideout, exactly?
context: Defining each other's life\Thirsting for love\The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly? response:	You're the squad leader.
context: Thirsting for love\The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader. response:	When do you think would be good?
context: The main PC is on the second floor.\Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good? response:	Maybe tonight.
context: Ouroboros\We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good?\Maybe tonight. response:	The sooner the better.
context: We can boot it up and get the member list,\but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good?\Maybe tonight.\The sooner the better. response:	If they catch on to us, they'll erase the list and run.
context: but it will take five minutes to unlock it.\And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good?\Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run. response:	Zero Five was Ushio from C Squad.
context: And five more to copy the file.\So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good?\Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad. response:	We'll ask their leader, Takimoto, to help us keep him busy.
context: So when will we be breaking into the CCC hideout, exactly?\You're the squad leader.\When do you think would be good?\Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy. response:	I'll stop Kikuhara.
context: You're the squad leader.\When do you think would be good?\Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy.\I'll stop Kikuhara. response:	I don't think we can let you join the raid.
context: When do you think would be good?\Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy.\I'll stop Kikuhara.\I don't think we can let you join the raid. response:	But on the other hand, we are short-staffed, so would you keep lookout for us?
context: Maybe tonight.\The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy.\I'll stop Kikuhara.\I don't think we can let you join the raid.\But on the other hand, we are short-staffed, so would you keep lookout for us? response:	But I hope you'll leave the sniper rifle at home.
context: The sooner the better.\If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy.\I'll stop Kikuhara.\I don't think we can let you join the raid.\But on the other hand, we are short-staffed, so would you keep lookout for us?\But I hope you'll leave the sniper rifle at home. response:	You and Jill are grounded.
context: If they catch on to us, they'll erase the list and run.\Zero Five was Ushio from C Squad.\We'll ask their leader, Takimoto, to help us keep him busy.\I'll stop Kikuhara.\I don't think we can let you join the raid.\But on the other hand, we are short-staffed, so would you keep lookout for us?\But I hope you'll leave the sniper rifle at home.\You and Jill are grounded. response:	If you break the deployment ban again, you will be fired.
