context: -OP- response:	-ED-
context: -OP-\-ED- response:	This Japan of yours...
context: -OP-\-ED-\This Japan of yours... response:	They say it's a small country, but the climate in the north is quite different from the south.
context: -OP-\-ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south. response:	Amaimon!
context: -OP-\-ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon! response:	I told you that the Infinity Key is not for sightsee -
context: -OP-\-ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee - response:	Tha-That's the Honey-Honey Sisters yukata that
context: -OP-\-ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that response:	counts as a rare item even in the holy lands!
context: -OP-\-ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands! response:	I just queued and bought it.
context: -ED-\This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it. response:	Well done!
context: This Japan of yours...\They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it.\Well done! response:	This is the true Japanese samurai spirit!
context: They say it's a small country, but the climate in the north is quite different from the south.\Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it.\Well done!\This is the true Japanese samurai spirit! response:	And the wonderful world of moe!
context: Amaimon!\I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it.\Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe! response:	Having such a great little brother fills my heart with joy.
context: I told you that the Infinity Key is not for sightsee -\Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it.\Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy. response:	By the way, Brother, where is he?
context: Tha-That's the Honey-Honey Sisters yukata that\counts as a rare item even in the holy lands!\I just queued and bought it.\Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he? response:	Over there.
context: counts as a rare item even in the holy lands!\I just queued and bought it.\Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there. response:	An amusement park?
context: I just queued and bought it.\Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there.\An amusement park? response:	Oh, so you finally feel like playing a bit with him?
context: Well done!\This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him? response:	I'd rather bring a date to the amusement park after school, not come here like this...
context: This is the true Japanese samurai spirit!\And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this... response:	How was your team's last mission, Shima?
context: And the wonderful world of moe!\Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima? response:	I'm not even sure if you could call it a mission...
context: Having such a great little brother fills my heart with joy.\By the way, Brother, where is he?\Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission... response:	It was a huge squid.
context: By the way, Brother, where is he?\Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid. response:	Squid...?
context: Over there.\An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...? response:	Squid.
context: An amusement park?\Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...?\Squid. response:	Oh well, that's bullshit.
context: Oh, so you finally feel like playing a bit with him?\I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...?\Squid.\Oh well, that's bullshit. response:	What?!
context: I'd rather bring a date to the amusement park after school, not come here like this...\How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...?\Squid.\Oh well, that's bullshit.\What?! response:	I mean, there are people who are not even doing anything!
context: How was your team's last mission, Shima?\I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...?\Squid.\Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything! response:	Well...
context: I'm not even sure if you could call it a mission...\It was a huge squid.\Squid...?\Squid.\Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything!\Well... response:	Sorry we're late!
context: It was a huge squid.\Squid...?\Squid.\Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything!\Well...\Sorry we're late! response:	Shiemi, what happened? Your kimono...
context: Squid...?\Squid.\Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything!\Well...\Sorry we're late!\Shiemi, what happened? Your kimono... response:	The kimono's not fit for missions, so the Principal assigned me a uniform.
context: Squid.\Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything!\Well...\Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform. response:	We're late because Kamiki had to show me how to put it on.
context: Oh well, that's bullshit.\What?!\I mean, there are people who are not even doing anything!\Well...\Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on. response:	Why me?
context: What?!\I mean, there are people who are not even doing anything!\Well...\Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me? response:	It's not too weird I hope...
context: I mean, there are people who are not even doing anything!\Well...\Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope... response:	It's good, it's good, it's hella cute, Moriyama.
context: Well...\Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama. response:	Thanks.
context: Sorry we're late!\Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks. response:	Hey, isn't that skirt a bit too short? Huh, Yukio?
context: Shiemi, what happened? Your kimono...\The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio? response:	Why are you asking me?
context: The kimono's not fit for missions, so the Principal assigned me a uniform.\We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me? response:	Huh? You were checking out her boo -
context: We're late because Kamiki had to show me how to put it on.\Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo - response:	That hurt, four-eyes!
context: Why me?\It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes! response:	Now that you're all here, let me assign you in pairs.
context: It's not too weird I hope...\It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs. response:	Miwa, Takara.
context: It's good, it's good, it's hella cute, Moriyama.\Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara. response:	Yamada, Suguro.
context: Thanks.\Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro. response:	Why?
context: Hey, isn't that skirt a bit too short? Huh, Yukio?\Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro.\Why? response:	Kamiki, Shima.
context: Why are you asking me?\Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro.\Why?\Kamiki, Shima. response:	Okumura, Moriyama.
context: Huh? You were checking out her boo -\That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro.\Why?\Kamiki, Shima.\Okumura, Moriyama. response:	I'm with Rin!
context: That hurt, four-eyes!\Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro.\Why?\Kamiki, Shima.\Okumura, Moriyama.\I'm with Rin! response:	Lately we've been getting sightings of a ghost and reports of damage
context: Now that you're all here, let me assign you in pairs.\Miwa, Takara.\Yamada, Suguro.\Why?\Kamiki, Shima.\Okumura, Moriyama.\I'm with Rin!\Lately we've been getting sightings of a ghost and reports of damage response:	here in MepphyLand, so today you'll investigate that.
context: Miwa, Takara.\Yamada, Suguro.\Why?\Kamiki, Shima.\Okumura, Moriyama.\I'm with Rin!\Lately we've been getting sightings of a ghost and reports of damage\here in MepphyLand, so today you'll investigate that. response:	You have to find it today while the park is closed to public,
context: Yamada, Suguro.\Why?\Kamiki, Shima.\Okumura, Moriyama.\I'm with Rin!\Lately we've been getting sightings of a ghost and reports of damage\here in MepphyLand, so today you'll investigate that.\You have to find it today while the park is closed to public, response:	and as soon as you do, report to either professor Tsubaki's or my cell phone.
context: Why?\Kamiki, Shima.\Okumura, Moriyama.\I'm with Rin!\Lately we've been getting sightings of a ghost and reports of damage\here in MepphyLand, so today you'll investigate that.\You have to find it today while the park is closed to public,\and as soon as you do, report to either professor Tsubaki's or my cell phone. response:	Then, can someone please define what is a ghost.
