context: Hello, Higurashi residence. response:	Oh, Kagome's grandpa! Hello!
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello! response:	Is that you, Yuka? Why hello.
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello. response:	Umm... Is Kagome home?
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home? response:	Well... Kagome pulled her back again and took to her bed.
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed. response:	Pulled her back?
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back? response:	Oh...
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh... response:	Who pulled her back?!
context: Hello, Higurashi residence.\Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh...\Who pulled her back?! response:	Give it to me!
context: Oh, Kagome's grandpa! Hello!\Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh...\Who pulled her back?!\Give it to me! response:	May I speak to Kagome please?
context: Is that you, Yuka? Why hello.\Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh...\Who pulled her back?!\Give it to me!\May I speak to Kagome please? response:	Well, Kagome's diabetes came back and...
context: Umm... Is Kagome home?\Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh...\Who pulled her back?!\Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and... response:	Huh?! Has she been hospitalized again for tests?
context: Well... Kagome pulled her back again and took to her bed.\Pulled her back?\Oh...\Who pulled her back?!\Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests? response:	Oh...
context: Pulled her back?\Oh...\Who pulled her back?!\Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh... response:	Beriberi and rheumatism and neuralgia?
context: Oh...\Who pulled her back?!\Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia? response:	She's such a sickly grandchild...
context: Who pulled her back?!\Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild... response:	Oh...
context: Give it to me!\May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh... response:	Will you cut it out, Grandpa?
context: May I speak to Kagome please?\Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa? response:	Why would a girl my age get neuralgia and rheumatism?!
context: Well, Kagome's diabetes came back and...\Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?! response:	I don't want to tell lies, either!
context: Huh?! Has she been hospitalized again for tests?\Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either! response:	I'm just helping to explain your absence...
context: Oh...\Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence... response:	when you go off to the Feudal Era!
context: Beriberi and rheumatism and neuralgia?\She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era! response:	And what I'm saying is valid!
context: She's such a sickly grandchild...\Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid! response:	No way! I'm right here today!
context: Oh...\Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today! response:	Huh?
context: Will you cut it out, Grandpa?\Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today!\Huh? response:	Oh yes... Kagome, what's the matter?
context: Why would a girl my age get neuralgia and rheumatism?!\I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter? response:	You usually rush off over to the other side on weekends.
context: I don't want to tell lies, either!\I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends. response:	That's why I made up those illnesses.
context: I'm just helping to explain your absence...\when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses. response:	W-what's wrong with staying here?
context: when you go off to the Feudal Era!\And what I'm saying is valid!\No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here? response:	This world is where I really belong.
context: And what I'm saying is valid!\No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong. response:	Hmm...
context: No way! I'm right here today!\Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong.\Hmm... response:	Sota! Playing games from morning again?
context: Huh?\Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong.\Hmm...\Sota! Playing games from morning again? response:	The weather's great, so go outside to play.
context: Oh yes... Kagome, what's the matter?\You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong.\Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play. response:	Will you go to the movies with me on Saturday?
context: You usually rush off over to the other side on weekends.\That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong.\Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday? response:	On Saturday?
context: That's why I made up those illnesses.\W-what's wrong with staying here?\This world is where I really belong.\Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday? response:	It'll be a nice change from studying.
context: W-what's wrong with staying here?\This world is where I really belong.\Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying. response:	You're in love with someone else, aren't you?
context: This world is where I really belong.\Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you? response:	How could I?
context: Hmm...\Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I? response:	Game over!
context: Sota! Playing games from morning again?\The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I?\Game over! response:	l- I didn't come here because I was worried about Inuyasha...
context: The weather's great, so go outside to play.\Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha... response:	Inuyasha... I'm going on a date!
context: Will you go to the movies with me on Saturday?\On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date! response:	You okay with that?
context: On Saturday?\It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that? response:	Die!
context: It'll be a nice change from studying.\You're in love with someone else, aren't you?\How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that?\Die! response:	Shaddup!
context: You're in love with someone else, aren't you?\How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that?\Die!\Shaddup! response:	Inuyasha's been thrown!
context: How could I?\Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that?\Die!\Shaddup!\Inuyasha's been thrown! response:	Inuyasha denied it, but he's not back to full strength.
context: Game over!\l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that?\Die!\Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength. response:	How come he's so strong?!
context: l- I didn't come here because I was worried about Inuyasha...\Inuyasha... I'm going on a date!\You okay with that?\Die!\Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?! response:	A huge Sacred Jewel fragment!
context: Inuyasha... I'm going on a date!\You okay with that?\Die!\Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment! response:	Damn!
context: You okay with that?\Die!\Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment!\Damn! response:	You can't have it!
context: Die!\Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment!\Damn!\You can't have it! response:	Shippo!
context: Shaddup!\Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment!\Damn!\You can't have it!\Shippo! response:	You won't get away!
context: Inuyasha's been thrown!\Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment!\Damn!\You can't have it!\Shippo!\You won't get away! response:	Time to show them my...
context: Inuyasha denied it, but he's not back to full strength.\How come he's so strong?!\A huge Sacred Jewel fragment!\Damn!\You can't have it!\Shippo!\You won't get away!\Time to show them my... response:	Split Image!
context: How come he's so strong?!\A huge Sacred Jewel fragment!\Damn!\You can't have it!\Shippo!\You won't get away!\Time to show them my...\Split Image! response:	Now's my chance!
context: A huge Sacred Jewel fragment!\Damn!\You can't have it!\Shippo!\You won't get away!\Time to show them my...\Split Image!\Now's my chance! response:	You fools!
context: Damn!\You can't have it!\Shippo!\You won't get away!\Time to show them my...\Split Image!\Now's my chance!\You fools! response:	What is that?
context: You can't have it!\Shippo!\You won't get away!\Time to show them my...\Split Image!\Now's my chance!\You fools!\What is that? response:	It's slight, but I feel the presence of the Jewel.
context: Shippo!\You won't get away!\Time to show them my...\Split Image!\Now's my chance!\You fools!\What is that?\It's slight, but I feel the presence of the Jewel. response:	Inuyasha!
context: You won't get away!\Time to show them my...\Split Image!\Now's my chance!\You fools!\What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha! response:	What's going on?!
context: Time to show them my...\Split Image!\Now's my chance!\You fools!\What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?! response:	No one's here!
context: Split Image!\Now's my chance!\You fools!\What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?!\No one's here! response:	After I came back all the way here!
context: Now's my chance!\You fools!\What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?!\No one's here!\After I came back all the way here! response:	Oh no! The time! I'll be late!
context: You fools!\What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?!\No one's here!\After I came back all the way here!\Oh no! The time! I'll be late! response:	Iron-Reaver, Soul-Stealer!
context: What is that?\It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?!\No one's here!\After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer! response:	- Inuyasha! - He usually fights back so easily!
context: It's slight, but I feel the presence of the Jewel.\Inuyasha!\What's going on?!\No one's here!\After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily! response:	His slow movements aren't simply due to his injury.
context: Inuyasha!\What's going on?!\No one's here!\After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury. response:	It's Kagome.
context: What's going on?!\No one's here!\After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome. response:	Without Kagome, he's unable to realize his true power.
context: No one's here!\After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power. response:	Royakan definitely is using the power of the Sacred Jewel.
context: After I came back all the way here!\Oh no! The time! I'll be late!\Iron-Reaver, Soul-Stealer!\- Inuyasha! - He usually fights back so easily!\His slow movements aren't simply due to his injury.\It's Kagome.\Without Kagome, he's unable to realize his true power.\Royakan definitely is using the power of the Sacred Jewel. response:	What?!
