context: Bra, Bra, Pig! response:	Lemme see, lemme see!
context: Bra, Bra, Pig!\Lemme see, lemme see! response:	Maybe just a little.
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little. response:	How cute, Sugi-chan!
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan! response:	Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair response:	You're lucky...I wanna wear a bra too!
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too! response:	Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished. response:	I picked it out yesterday while I was shopping with my mom.
context: Bra, Bra, Pig!\Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom. response:	Sugisaki Miku A bourgeois girl who loathes Mitsuba
context: Lemme see, lemme see!\Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba response:	Isn't that a little flashy for you?
context: Maybe just a little.\How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you? response:	What, you got a problem with my taste?
context: How cute, Sugi-chan!\Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste? response:	You must wear bras too, right Micchan?
context: Yoshioka Yuki An eager to please girl who loves love stories. Trademark: Shoulder length hair\You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan? response:	What kind?
context: You're lucky...I wanna wear a bra too!\Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan?\What kind? response:	Umm...
context: Miyashita The only well-adjusted person in 6-3 Has yet to learn that no good deed goes unpunished.\I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan?\What kind?\Umm... response:	The kind with hooks?
context: I picked it out yesterday while I was shopping with my mom.\Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan?\What kind?\Umm...\The kind with hooks? response:	Y-Yeah.
context: Sugisaki Miku A bourgeois girl who loathes Mitsuba\Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan?\What kind?\Umm...\The kind with hooks?\Y-Yeah. response:	Let's see.
context: Isn't that a little flashy for you?\What, you got a problem with my taste?\You must wear bras too, right Micchan?\What kind?\Umm...\The kind with hooks?\Y-Yeah.\Let's see. response:	I'm not showing you anything! I'm not a pervy exhibitionist like you!
