context: TS response:	SCRIPT
context: TS\SCRIPT response:	This is Earth, seventy million years ago.
context: TS\SCRIPT\This is Earth, seventy million years ago. response:	Mayuri?
context: TS\SCRIPT\This is Earth, seventy million years ago.\Mayuri? response:	You were sent here by a time machine.
context: TS\SCRIPT\This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine. response:	Is that you, Mayuri?
context: TS\SCRIPT\This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine.\Is that you, Mayuri? response:	Mayushii has looked for Okarin
context: TS\SCRIPT\This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin response:	in many, many, many world lines, chasing him.
context: TS\SCRIPT\This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him. response:	Mayuri?
context: SCRIPT\This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri? response:	You could say that the Okarin here
context: This is Earth, seventy million years ago.\Mayuri?\You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here response:	is one of many Okarins. And you could say that
context: Mayuri?\You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that response:	he's the original Okarin.
context: You were sent here by a time machine.\Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin. response:	And you could also say the Mayushii here
context: Is that you, Mayuri?\Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here response:	is one of many Mayushiis. And you could say that
context: Mayushii has looked for Okarin\in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that response:	she's the original, too.
context: in many, many, many world lines, chasing him.\Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too. response:	And so,
context: Mayuri?\You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too.\And so, response:	I think Okarin and Mayushii are gonna die here.
context: You could say that the Okarin here\is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here. response:	But I believe
context: is one of many Okarins. And you could say that\he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here.\But I believe response:	that our wills will carry on
context: he's the original Okarin.\And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on response:	to the Okarin and Mayushii, in Akihabara, seventy million years from now.
context: And you could also say the Mayushii here\is one of many Mayushiis. And you could say that\she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now. response:	So...
context: is one of many Mayushiis. And you could say that\she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So... response:	It's okay.
context: she's the original, too.\And so,\I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay. response:	Dogma
context: And so,\I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay.\Dogma response:	in
context: I think Okarin and Mayushii are gonna die here.\But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay.\Dogma\in response:	Ergosphere
context: But I believe\that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay.\Dogma\in\Ergosphere response:	Dogma
context: that our wills will carry on\to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay.\Dogma\in\Ergosphere\Dogma response:	Dogma
context: to the Okarin and Mayushii, in Akihabara, seventy million years from now.\So...\It's okay.\Dogma\in\Ergosphere\Dogma\Dogma response:	Dogma
context: So...\It's okay.\Dogma\in\Ergosphere\Dogma\Dogma\Dogma response:	Dogma
context: It's okay.\Dogma\in\Ergosphere\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\in\Ergosphere\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: in\Ergosphere\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Ergosphere\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	Dogma
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma response:	in
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\in response:	in
context: Dogma\Dogma\Dogma\Dogma\Dogma\Dogma\in\in response:	in
context: Dogma\Dogma\Dogma\Dogma\Dogma\in\in\in response:	in
context: Dogma\Dogma\Dogma\Dogma\in\in\in\in response:	in
context: Dogma\Dogma\Dogma\in\in\in\in\in response:	in
context: Dogma\Dogma\in\in\in\in\in\in response:	in
context: Dogma\in\in\in\in\in\in\in response:	in
context: in\in\in\in\in\in\in\in response:	Ergosphere
context: in\in\in\in\in\in\in\Ergosphere response:	Ergosphere
context: in\in\in\in\in\in\Ergosphere\Ergosphere response:	Ergosphere
context: in\in\in\in\in\Ergosphere\Ergosphere\Ergosphere response:	Ergosphere
context: in\in\in\in\Ergosphere\Ergosphere\Ergosphere\Ergosphere response:	Ergosphere
context: in\in\in\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere response:	Ergosphere
context: in\in\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere response:	Ergosphere
context: in\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere response:	Ergosphere
context: Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere response:	Okarin!
context: Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Okarin! response:	Kurisu-chan says to come in, because she's almost done.
context: Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done. response:	And Mayushii's cosplay...
context: Ergosphere\Ergosphere\Ergosphere\Ergosphere\Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay... response:	Well...
context: Ergosphere\Ergosphere\Ergosphere\Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well... response:	Come on! Come on!
context: Ergosphere\Ergosphere\Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well...\Come on! Come on! response:	OP
context: Ergosphere\Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well...\Come on! Come on!\OP response:	suujuuoku mono kodou no kazu sae
context: Ergosphere\Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well...\Come on! Come on!\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Okarin!\Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well...\Come on! Come on!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Kurisu-chan says to come in, because she's almost done.\And Mayushii's cosplay...\Well...\Come on! Come on!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: And Mayushii's cosplay...\Well...\Come on! Come on!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: Well...\Come on! Come on!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: Come on! Come on!\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
