context: One way or the other. response:	Okay!
context: One way or the other.\Okay! response:	Muginami, we'll be late for school.
context: One way or the other.\Okay!\Muginami, we'll be late for school. response:	Wait, Lan.
context: One way or the other.\Okay!\Muginami, we'll be late for school.\Wait, Lan. response:	Where are your manners?
context: One way or the other.\Okay!\Muginami, we'll be late for school.\Wait, Lan.\Where are your manners? response:	Well, you didn't wake me up.
context: One way or the other.\Okay!\Muginami, we'll be late for school.\Wait, Lan.\Where are your manners?\Well, you didn't wake me up. response:	Yes I did.
context: One way or the other.\Okay!\Muginami, we'll be late for school.\Wait, Lan.\Where are your manners?\Well, you didn't wake me up.\Yes I did. response:	Let's go!
context: One way or the other.\Okay!\Muginami, we'll be late for school.\Wait, Lan.\Where are your manners?\Well, you didn't wake me up.\Yes I did.\Let's go! response:	86th Annual Kamo Girls' Oraga Arts Festival
context: Okay!\Muginami, we'll be late for school.\Wait, Lan.\Where are your manners?\Well, you didn't wake me up.\Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival response:	86th Annual Kamo Girls' Oraga Arts Festival
context: Muginami, we'll be late for school.\Wait, Lan.\Where are your manners?\Well, you didn't wake me up.\Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival response:	Umm...
context: Wait, Lan.\Where are your manners?\Well, you didn't wake me up.\Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm... response:	Could you repeat that?
context: Where are your manners?\Well, you didn't wake me up.\Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that? response:	Goodbye, Kamogawa
context: Well, you didn't wake me up.\Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that?\Goodbye, Kamogawa response:	Goodbye, Kamogawa
context: Yes I did.\Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa response:	How about you, Lan?
context: Let's go!\86th Annual Kamo Girls' Oraga Arts Festival\86th Annual Kamo Girls' Oraga Arts Festival\Umm...\Could you repeat that?\Goodbye, Kamogawa\Goodbye, Kamogawa\How about you, Lan? response:	Yes.
