context: E-E-Everyone... response:	X791, Port Hargeon.
context: E-E-Everyone...\X791, Port Hargeon. response:	Seven years have passed since Natsu and the rest
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest response:	disappeared without a trace from Tenroujima Island.
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island. response:	How long are you gonna stare at the sea?
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea? response:	Our work is finished, so let's get back to the guild.
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild. response:	Yeesh...
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh... response:	If you aren't back soon, your dad will worry.
context: E-E-Everyone...\X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry. response:	This man is Fairy Tail's Alzack Connell.
context: X791, Port Hargeon.\Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell. response:	This woman is Bisca Connell.
context: Seven years have passed since Natsu and the rest\disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell. response:	Macao asked us to take care of you, Romeo.
context: disappeared without a trace from Tenroujima Island.\How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo. response:	Yeah...
context: How long are you gonna stare at the sea?\Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah... response:	And this boy is Romeo Conbolt.
context: Our work is finished, so let's get back to the guild.\Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt. response:	Romeo... I know how you feel, but...
context: Yeesh...\If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but... response:	Bisca...
context: If you aren't back soon, your dad will worry.\This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca... response:	Natsu-nii...
context: This man is Fairy Tail's Alzack Connell.\This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca...\Natsu-nii... response:	This is Magnolia.
context: This woman is Bisca Connell.\Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca...\Natsu-nii...\This is Magnolia. response:	It hasn't changed in the past seven years and is as thriving as ever.
context: Macao asked us to take care of you, Romeo.\Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca...\Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever. response:	And standing quietly on a hillside far from the the heart of the city...
context: Yeah...\And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca...\Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city... response:	Fairy Tail, X791!
context: And this boy is Romeo Conbolt.\Romeo... I know how you feel, but...\Bisca...\Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791! response:	Romeo isn't home yet?!
context: Romeo... I know how you feel, but...\Bisca...\Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?! response:	I bet Al and Bisca ditched him and went off to snuggle!
context: Bisca...\Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle! response:	Ah, pipe down.
context: Natsu-nii...\This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down. response:	You're too old for these outbursts, so take it easy, Macao.
context: This is Magnolia.\It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao. response:	I told you to call me Master, Wakaba!
context: It hasn't changed in the past seven years and is as thriving as ever.\And standing quietly on a hillside far from the the heart of the city...\Fairy Tail, X791!\Romeo isn't home yet?!\I bet Al and Bisca ditched him and went off to snuggle!\Ah, pipe down.\You're too old for these outbursts, so take it easy, Macao.\I told you to call me Master, Wakaba! response:	I've never seen a master with less dignity than you! 4th Guild Master, my ass!
