context: Deal with it. response:	Find him, and bring him here.
context: Deal with it.\Find him, and bring him here. response:	And the item?
context: Deal with it.\Find him, and bring him here.\And the item? response:	It's safe.
context: Deal with it.\Find him, and bring him here.\And the item?\It's safe. response:	However, your wife and daughter are aboard.
context: Deal with it.\Find him, and bring him here.\And the item?\It's safe.\However, your wife and daughter are aboard. response:	What's the Rail Tracer?
context: Deal with it.\Find him, and bring him here.\And the item?\It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer? response:	The people, you see... they all disappear...
context: Deal with it.\Find him, and bring him here.\And the item?\It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear... response:	And the very existence of that train just vanishes...
context: Deal with it.\Find him, and bring him here.\And the item?\It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes... response:	All right, all right!
context: Find him, and bring him here.\And the item?\It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right! response:	Miss, it's not healthy for you to get too much sea breeze.
context: And the item?\It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze. response:	Thank you, Benjamin- san, but...
context: It's safe.\However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but... response:	Okay, take it up!
context: However, your wife and daughter are aboard.\What's the Rail Tracer?\The people, you see... they all disappear...\And the very existence of that train just vanishes...\All right, all right!\Miss, it's not healthy for you to get too much sea breeze.\Thank you, Benjamin- san, but...\Okay, take it up! response:	I want to wait here a little longer... just a little longer.
