context: Oh boy... response:	At least we're still alive.
context: Oh boy...\At least we're still alive. response:	We're better off wielding hoes than swords.
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords. response:	I thought we'd all be dead, but we can go back home.
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home. response:	It's all thanks to that priestess.
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess. response:	We must be grateful.
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful. response:	Hey, he's conscious!
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious! response:	Brace up, Yohei!
context: Oh boy...\At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious!\Brace up, Yohei! response:	The priestess's medicine worked!
context: At least we're still alive.\We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked! response:	Priestess! Yohei is revived!
context: We're better off wielding hoes than swords.\I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived! response:	Evil still seeks this man's life...
context: I thought we'd all be dead, but we can go back home.\It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life... response:	What's the matter, Priestess?
context: It's all thanks to that priestess.\We must be grateful.\Hey, he's conscious!\Brace up, Yohei!\The priestess's medicine worked!\Priestess! Yohei is revived!\Evil still seeks this man's life...\What's the matter, Priestess? response:	Nothing. He'll be all right.
