context: TS response:	We need to make it to the harbor!
context: TS\We need to make it to the harbor! response:	A world supported by trapar is so fragile...
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile... response:	What are you doing?!
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?! response:	How does it feel?
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?!\How does it feel? response:	What are you guys doing here?
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?!\How does it feel?\What are you guys doing here? response:	I'm asking you how does it feel?!
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?!\How does it feel?\What are you guys doing here?\I'm asking you how does it feel?! response:	Let me make it clear.
context: TS\We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?!\How does it feel?\What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear. response:	I hated the adults for being so obsessed with the trapar business,
context: We need to make it to the harbor!\A world supported by trapar is so fragile...\What are you doing?!\How does it feel?\What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business, response:	but I had never wished for something like this.
context: A world supported by trapar is so fragile...\What are you doing?!\How does it feel?\What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this. response:	What's independence? To become Japanese?
context: What are you doing?!\How does it feel?\What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese? response:	Or is it to ally with the Secrets?
context: How does it feel?\What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets? response:	Or is it to protect the Scub Coral?
context: What are you guys doing here?\I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral? response:	The independence you wanted is just as insane as what Truth wanted!
context: I'm asking you how does it feel?!\Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted! response:	It's never going to happen!
context: Let me make it clear.\I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen! response:	Gazelle... You're talking about yourself, man.
context: I hated the adults for being so obsessed with the trapar business,\but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man. response:	Shut up! It's the same thing.
context: but I had never wished for something like this.\What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing. response:	Listen!
context: What's independence? To become Japanese?\Or is it to ally with the Secrets?\Or is it to protect the Scub Coral?\The independence you wanted is just as insane as what Truth wanted!\It's never going to happen!\Gazelle... You're talking about yourself, man.\Shut up! It's the same thing.\Listen! response:	In the business world, even if a common enemy appears,
