context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	All day every day.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day. response:	ANTIBODY ENCYCLOPEDIA
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	WARNING
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\WARNING response:	The target is approaching!
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\WARNING\The target is approaching! response:	Estimated point of impact, confirmed!
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\WARNING\The target is approaching!\Estimated point of impact, confirmed! response:	- Issue evacuation orders immediately! - Size, 30 micrometers!
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\WARNING\The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers! response:	Twenty seconds to impact!
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\WARNING\The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact! response:	19, 18...
context: PLATELETS\This is the inside of a human body.\WARNING\The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18... response:	- 17... - Commander!
context: This is the inside of a human body.\WARNING\The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18...\- 17... - Commander! response:	16, 15...
context: WARNING\The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18...\- 17... - Commander!\16, 15... response:	HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.
context: The target is approaching!\Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18...\- 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with. response:	Helper T Cells.
context: Estimated point of impact, confirmed!\- Issue evacuation orders immediately! - Size, 30 micrometers!\Twenty seconds to impact!\19, 18...\- 17... - Commander!\16, 15...\HELPER T CELLS: When notified of invading external enemies, they serve as commanders who formulate appropriate attack strategies based on what kind of enemy they're dealing with.\Helper T Cells. response:	When notified of invading external enemies, they serve as commanders who formulate
