context: Torrent response:	All right, now that Kiriyama has joined us, shall we continue?
context: Torrent\All right, now that Kiriyama has joined us, shall we continue? response:	This is how I set up the board.
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board. response:	This is...
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is... response:	Last year, in the Lion King challenger's tournament,
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament, response:	this is what the board looked like when I lost.
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost. response:	This just bothered me suddenly.
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly. response:	Tokyo Nagano Tokushima Kyoto
context: Torrent\All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto response:	This weekend, I have to head to Tokushima.
context: All right, now that Kiriyama has joined us, shall we continue?\This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima. response:	So I felt like delving into one of my defeats.
context: This is how I set up the board.\This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats. response:	All right, continuing...
context: This is...\Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing... response:	I'm telling you.
context: Last year, in the Lion King challenger's tournament,\this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you. response:	Black should go 6-a-Bishop, and white should go 5-b-Pawn.
context: this is what the board looked like when I lost.\This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn. response:	Then black should go 7-d-Pawn.
context: This just bothered me suddenly.\Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn. response:	Wrong.
context: Tokyo Nagano Tokushima Kyoto\This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong. response:	Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?
context: This weekend, I have to head to Tokushima.\So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken? response:	Are you the type who gets killed on a battlefield right away from moving around too much?
context: So I felt like delving into one of my defeats.\All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much? response:	Pffft!
context: All right, continuing...\I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft! response:	What are you talking about?
context: I'm telling you.\Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about? response:	What about you, Mr. Shigeta?
context: Black should go 6-a-Bishop, and white should go 5-b-Pawn.\Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about?\What about you, Mr. Shigeta? response:	You sit there with pride while constantly checking the situation,
context: Then black should go 7-d-Pawn.\Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation, response:	and before you know it, you're surrounded. The end!
context: Wrong.\Black just needs to go 7-d-Pawn. Why does the bishop need to be taken?\Are you the type who gets killed on a battlefield right away from moving around too much?\Pffft!\What are you talking about?\What about you, Mr. Shigeta?\You sit there with pride while constantly checking the situation,\and before you know it, you're surrounded. The end! response:	Like the Battle of Sekigahara's Shimazu type?
