context: Naraku... response:	Fifty years ago, in order to steal the Sacred Jewel...
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel... response:	Naraku tricked Inuyasha and Kikyo to battle each other.
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other. response:	Die, Inuyasha!
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha! response:	Now he is gathering the Sacred Jewel fragments...
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments... response:	and his evil power is growing steadily.
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily. response:	Miroku has been cursed by Naraku...
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku... response:	with a Wind Tunnel in his right hand.
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand. response:	Wind Tunnel!
context: Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel! response:	One day, the Wind Tunnel will devour Miroku himself.
context: Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself. response:	He must destroy Naraku before that happens.
context: Die, Inuyasha!\Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens. response:	Sango's father and fellow monster slayers...
context: Now he is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers... response:	were killed before her very eyes.
context: and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes. response:	Naraku had resorted to the dirty trick...
context: Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick... response:	- of using her brother Kohaku. - Kohaku!
context: with a Wind Tunnel in his right hand.\Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku! response:	He never dirties his hands... a despicable coward!
context: Wind Tunnel!\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward! response:	Someday, we'll get him!
context: One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him! response:	So you're saying that this Kagura was born from Naraku?
context: He must destroy Naraku before that happens.\Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku? response:	I'm saying it's a possibility.
context: Sango's father and fellow monster slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility. response:	But...
context: were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But... response:	Naraku is a man.
context: Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But...\Naraku is a man. response:	How can a man give birth to a woman?
context: - of using her brother Kohaku. - Kohaku!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But...\Naraku is a man.\How can a man give birth to a woman? response:	Naraku became one from a host of various monsters.
context: He never dirties his hands... a despicable coward!\Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But...\Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters. response:	What if one of them became separated from him?
context: Someday, we'll get him!\So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But...\Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him? response:	I see...
context: So you're saying that this Kagura was born from Naraku?\I'm saying it's a possibility.\But...\Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see... response:	She didn't know enough about us...
context: I'm saying it's a possibility.\But...\Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see...\She didn't know enough about us... response:	to be Naraku in disguise.
context: But...\Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see...\She didn't know enough about us...\to be Naraku in disguise. response:	In any case, regardless of how a woman looks...
context: Naraku is a man.\How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see...\She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks... response:	if she's basically made from Naraku, I'm not interested.
context: How can a man give birth to a woman?\Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see...\She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested. response:	It's not like you're going to go out with her.
context: Naraku became one from a host of various monsters.\What if one of them became separated from him?\I see...\She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her. response:	Miroku, get ahold of yourself!
context: What if one of them became separated from him?\I see...\She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself! response:	Fool! I can easily create wind!
context: I see...\She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind! response:	Take that!
context: She didn't know enough about us...\to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that! response:	The Wind Scar!
context: to be Naraku in disguise.\In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that!\The Wind Scar! response:	A woman with the same scent as Naraku.
context: In any case, regardless of how a woman looks...\if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that!\The Wind Scar!\A woman with the same scent as Naraku. response:	For sure, she had a spider-shaped burn scar on her back...
context: if she's basically made from Naraku, I'm not interested.\It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that!\The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back... response:	the same as Naraku.
context: It's not like you're going to go out with her.\Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that!\The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku. response:	But it's strange.
context: Miroku, get ahold of yourself!\Fool! I can easily create wind!\Take that!\The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange. response:	For a woman, this Kagura was somewhat strong.
context: Fool! I can easily create wind!\Take that!\The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong. response:	If he can create someone like that...
context: Take that!\The Wind Scar!\A woman with the same scent as Naraku.\For sure, she had a spider-shaped burn scar on her back...\the same as Naraku.\But it's strange.\For a woman, this Kagura was somewhat strong.\If he can create someone like that... response:	Uh-huh... Why didn't he do it earlier?
