context: Together Forever!! response:	This is no good!
context: Together Forever!!\This is no good! response:	The more I think about Otani's exam tomorrow,
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow, response:	I should send him a message of encouragement...
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement... response:	Yo, this is for real. You got mail.
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail. response:	Otani Atsushi
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi response:	Help me
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi\Help me response:	It's not what you think...
context: Together Forever!!\This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi\Help me\It's not what you think... response:	I called around, but no one else could help me.
context: This is no good!\The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi\Help me\It's not what you think...\I called around, but no one else could help me. response:	Come on in.
context: The more I think about Otani's exam tomorrow,\I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi\Help me\It's not what you think...\I called around, but no one else could help me.\Come on in. response:	Sorry to intrude.
context: I should send him a message of encouragement...\Yo, this is for real. You got mail.\Otani Atsushi\Help me\It's not what you think...\I called around, but no one else could help me.\Come on in.\Sorry to intrude. response:	No need to be so formal.
context: Yo, this is for real. You got mail.\Otani Atsushi\Help me\It's not what you think...\I called around, but no one else could help me.\Come on in.\Sorry to intrude.\No need to be so formal. response:	That's not the problem here...
context: Otani Atsushi\Help me\It's not what you think...\I called around, but no one else could help me.\Come on in.\Sorry to intrude.\No need to be so formal.\That's not the problem here... response:	Sure, sure. Just come in.
context: Help me\It's not what you think...\I called around, but no one else could help me.\Come on in.\Sorry to intrude.\No need to be so formal.\That's not the problem here...\Sure, sure. Just come in. response:	Don't tell me that's your boyfriend?
context: It's not what you think...\I called around, but no one else could help me.\Come on in.\Sorry to intrude.\No need to be so formal.\That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend? response:	This is Otani-sama.
context: I called around, but no one else could help me.\Come on in.\Sorry to intrude.\No need to be so formal.\That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama. response:	Uh, nice to meet you.
context: Come on in.\Sorry to intrude.\No need to be so formal.\That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you. response:	Um... I just have one question...
context: Sorry to intrude.\No need to be so formal.\That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question... response:	As long as it's not about height.
context: No need to be so formal.\That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height. response:	Are you really okay with someone like this?
context: That's not the problem here...\Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this? response:	Take your insults elsewhere!
context: Sure, sure. Just come in.\Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere! response:	What's this? We have a guest?
context: Don't tell me that's your boyfriend?\This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest? response:	Ah, I was just explaining...
context: This is Otani-sama.\Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining... response:	Oh dear, oh dear, oh dear. My, my, my...
context: Uh, nice to meet you.\Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my... response:	Dad?
context: Um... I just have one question...\As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad? response:	Hey? There's no need to call him.
context: As long as it's not about height.\Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him. response:	Oh. He was right there.
context: Are you really okay with someone like this?\Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him.\Oh. He was right there. response:	Excuse me, father...
context: Take your insults elsewhere!\What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father... response:	Uh, n-n-nice to meet you!
context: What's this? We have a guest?\Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you! response:	I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.
context: Ah, I was just explaining...\Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani. response:	What should I do? I haven't prepared anything...
context: Oh dear, oh dear, oh dear. My, my, my...\Dad?\Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything... response:	Don't go to any trouble!
context: Dad?\Hey? There's no need to call him.\Oh. He was right there.\Excuse me, father...\Uh, n-n-nice to meet you!\I'm, uh... Koizumi's... I mean... Ri-Ri-Risa's boyfriend, Otani.\What should I do? I haven't prepared anything...\Don't go to any trouble! response:	Height
