context: Just like a sickness that continues to progress without any visible symptoms, response:	there was someone hiding in our town of Morioh,
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh, response:	committing murders somewhere in the town.
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town. response:	And it seems like no one's even realized that these murders are taking place.
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place. response:	It's such shocking and chilling information.
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information. response:	But there is currently no way of finding that murderer.
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer. response:	We don't even know how many Stand users currently live in Morioh.
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh. response:	And rather than worry about a huge problem that presents no visible symptoms,
context: Just like a sickness that continues to progress without any visible symptoms,\there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms, response:	people are worried about what they should have for dinner,
context: there was someone hiding in our town of Morioh,\committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner, response:	because that's what's right in front of us.
context: committing murders somewhere in the town.\And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us. response:	Kameyu
context: And it seems like no one's even realized that these murders are taking place.\It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu response:	Transaction No.
context: It's such shocking and chilling information.\But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu\Transaction No. response:	Bank No.
context: But there is currently no way of finding that murderer.\We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu\Transaction No.\Bank No. response:	Branch No.
context: We don't even know how many Stand users currently live in Morioh.\And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu\Transaction No.\Bank No.\Branch No. response:	Window No.
context: And rather than worry about a huge problem that presents no visible symptoms,\people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu\Transaction No.\Bank No.\Branch No.\Window No. response:	Deposit Amount
context: people are worried about what they should have for dinner,\because that's what's right in front of us.\Kameyu\Transaction No.\Bank No.\Branch No.\Window No.\Deposit Amount response:	Balance
context: because that's what's right in front of us.\Kameyu\Transaction No.\Bank No.\Branch No.\Window No.\Deposit Amount\Balance response:	I only have 285 yen left in my savings!
context: Kameyu\Transaction No.\Bank No.\Branch No.\Window No.\Deposit Amount\Balance\I only have 285 yen left in my savings! response:	But I had 20,000 yen in there!
context: Transaction No.\Bank No.\Branch No.\Window No.\Deposit Amount\Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there! response:	Twelve yen?!
context: Bank No.\Branch No.\Window No.\Deposit Amount\Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?! response:	I was weak!
context: Branch No.\Window No.\Deposit Amount\Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?!\I was weak! response:	My 20,000 yen that I was saving up to buy those kewl brand-name shoes...
context: Window No.\Deposit Amount\Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes... response:	I can't even remember what I used the money on.
context: Deposit Amount\Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on. response:	This is all that damn old man's fault!
context: Balance\I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault! response:	Because he used my card to buy 130,000 yen worth of baby crap!
context: I only have 285 yen left in my savings!\But I had 20,000 yen in there!\Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap! response:	I made the old man pay me back the 130,000 later,
context: But I had 20,000 yen in there!\Twelve yen?!\I was weak!\My 20,000 yen that I was saving up to buy those kewl brand-name shoes...\I can't even remember what I used the money on.\This is all that damn old man's fault!\Because he used my card to buy 130,000 yen worth of baby crap!\I made the old man pay me back the 130,000 later, response:	but then I felt like spending a little
