context: Atri... response:	A warm room, delicious food, friends who cherished you...
context: Atri...\A warm room, delicious food, friends who cherished you... response:	You had all that just because you were born as royalty in this country...
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country... response:	I thought that was ridiculous from the bottom of my heart, Prince Zen!
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen! response:	No matter what you think of me...
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me... response:	I'm still looking for answers...
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers... response:	Atri!
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers...\Atri! response:	It might've been better... if you hadn't been a prince...
context: Atri...\A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince... response:	We all, at any given time, desire real connections with others...
context: A warm room, delicious food, friends who cherished you...\You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others... response:	On this path that we cannot stop walking on...
context: You had all that just because you were born as royalty in this country...\I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on... response:	For something to stir us up from the depths of our hearts...
context: I thought that was ridiculous from the bottom of my heart, Prince Zen!\No matter what you think of me...\I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts... response:	That is what we are looking for...
context: No matter what you think of me...\I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for... response:	Episode 9: Feelings that Connect and Reach
context: I'm still looking for answers...\Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach response:	Uh-oh...
context: Atri!\It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh... response:	How is Shirayuki?
context: It might've been better... if you hadn't been a prince...\We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki? response:	She's awake.
context: We all, at any given time, desire real connections with others...\On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki?\She's awake. response:	She looks like she's still a little drunk.
context: On this path that we cannot stop walking on...\For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki?\She's awake.\She looks like she's still a little drunk. response:	Yes, she does.
context: For something to stir us up from the depths of our hearts...\That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki?\She's awake.\She looks like she's still a little drunk.\Yes, she does. response:	I'll be finishing up work in the office, so sorry, but please look after her, Obi.
context: That is what we are looking for...\Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki?\She's awake.\She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi. response:	Well, I don't mind.
context: Episode 9: Feelings that Connect and Reach\Uh-oh...\How is Shirayuki?\She's awake.\She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind. response:	How are you feeling, Miss?
context: Uh-oh...\How is Shirayuki?\She's awake.\She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss? response:	Huh?
context: How is Shirayuki?\She's awake.\She looks like she's still a little drunk.\Yes, she does.\I'll be finishing up work in the office, so sorry, but please look after her, Obi.\Well, I don't mind.\How are you feeling, Miss?\Huh? response:	Yes?
