context: dou ka please can you keep my se cret? response:	mu ga mu chuu da that's all right
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right response:	Please, please can you keep my secret?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret? response:	The mirror, shining so brilliantly.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly. response:	I wonder how do I look in it.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it. response:	The future, beckoning me forward.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward. response:	What will happen from now, I wonder?
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder? response:	Because what we see is not everything.
context: dou ka please can you keep my se cret?\mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything. response:	I'm losing myself but that's all right.
context: mu ga mu chuu da that's all right\Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right. response:	I will now try not to waver.
context: Please, please can you keep my secret?\The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver. response:	I want to be true to my heart.
context: The mirror, shining so brilliantly.\I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart. response:	But even I have a secret or two.
context: I wonder how do I look in it.\The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two. response:	That I want to keep to myself.
context: The future, beckoning me forward.\What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself. response:	That's why my secret makes my heart aches slightly.
context: What will happen from now, I wonder?\Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly. response:	We'll surely meet again
context: Because what we see is not everything.\I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again response:	Everything that's reflected by your eyes,
context: I'm losing myself but that's all right.\I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes, response:	is it all just an illusion?
context: I will now try not to waver.\I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion? response:	I wonder how you feel,
context: I want to be true to my heart.\But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel, response:	as you melt away in this entangling love
context: But even I have a secret or two.\That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love response:	Take a look at this tainted scene,
context: That I want to keep to myself.\That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene, response:	and the reason we're joined together
context: That's why my secret makes my heart aches slightly.\We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together response:	Let's cling on to each other from our sadness
context: We'll surely meet again\Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness response:	Isn't it fine just like that?
context: Everything that's reflected by your eyes,\is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that? response:	It'll be an unadorned beauty
context: is it all just an illusion?\I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty response:	Let's understand this, someday...
context: I wonder how you feel,\as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday... response:	That no matter where we go,
context: as you melt away in this entangling love\Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go, response:	we'll surely meet again
context: Take a look at this tainted scene,\and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again response:	Maid Sweets
context: and the reason we're joined together\Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Maid Sweets response:	Maid Latte's Prohibition Article No. 9
context: Let's cling on to each other from our sadness\Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Isn't it fine just like that?\It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: It'll be an unadorned beauty\Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Let's understand this, someday...\That no matter where we go,\we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: That no matter where we go,\we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: we'll surely meet again\Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Maid Sweets\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	Maid Latte's Prohibition Article No. 9
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9 response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: Maid Latte's Prohibition Article No. 9\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
context: 1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited.\1. Personal dates with the customers are prohibited. response:	1. Personal dates with the customers are prohibited.
