context: TS response:	-OP-
context: TS\-OP- response:	-ED-
context: TS\-OP-\-ED- response:	I overslept!
context: TS\-OP-\-ED-\I overslept! response:	Thanks for the meal.
context: TS\-OP-\-ED-\I overslept!\Thanks for the meal. response:	Good morning, Rin.
context: TS\-OP-\-ED-\I overslept!\Thanks for the meal.\Good morning, Rin. response:	Why didn't you wake me up?!
context: TS\-OP-\-ED-\I overslept!\Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?! response:	I tried three times but you didn't wake up,
context: TS\-OP-\-ED-\I overslept!\Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up, response:	so I thought you must be tired and let you sleep.
context: -OP-\-ED-\I overslept!\Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep. response:	Don't put on that kind brother act, just try four times from tomorrow on!
context: -ED-\I overslept!\Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on! response:	I'm digging in.
context: I overslept!\Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in. response:	You're gobbling.
context: Thanks for the meal.\Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling. response:	We're running a marathon in the third period.
context: Good morning, Rin.\Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling.\We're running a marathon in the third period. response:	I need to eat or I'll die.
context: Why didn't you wake me up?!\I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die. response:	I'll be going then. Clean up after you're done eating.
context: I tried three times but you didn't wake up,\so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating. response:	You're not my mother!
context: so I thought you must be tired and let you sleep.\Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother! response:	Thanks for the meal!
context: Don't put on that kind brother act, just try four times from tomorrow on!\I'm digging in.\You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal! response:	Co-op store
context: I'm digging in.\You're gobbling.\We're running a marathon in the third period.\I need to eat or I'll die.\I'll be going then. Clean up after you're done eating.\You're not my mother!\Thanks for the meal!\Co-op store response:	Was I late?
