context: That's mean, Kacchan. response:	Can't you see he's crying?
context: That's mean, Kacchan.\Can't you see he's crying? response:	If you keep going...
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going... response:	I-I-I'll nevelfolgiveyou!
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou! response:	Even though you're Quirkless...
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless... response:	All men are not created equal.
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal. response:	This was the reality I learned about society at the young age of four.
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four. response:	And that was my...
context: That's mean, Kacchan.\Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my... response:	That's a huge villain!
context: Can't you see he's crying?\If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain! response:	It all began in China, in Qingqing City.
context: If you keep going...\I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain!\It all began in China, in Qingqing City. response:	There was news that a baby that gave off light was born.
context: I-I-I'll nevelfolgiveyou!\Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born. response:	Ever since then, superpowers were discovered in various places...
context: Even though you're Quirkless...\All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places... response:	Before we knew it, the supernatural became normal,
context: All men are not created equal.\This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal, response:	The world has become a superhuman society,
context: This was the reality I learned about society at the young age of four.\And that was my...\That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: And that was my...\That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos...
context: That's a huge villain!\It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos... response:	That profession is...
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is... response:	Oh, it's Death Arms!
context: There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is...\Oh, it's Death Arms! response:	He carries out justice through his great physical strength
context: Ever since then, superpowers were discovered in various places...\Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength response:	The Punching Hero!
context: Before we knew it, the supernatural became normal,\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero! response:	Everyone, this is dangerous.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous. response:	Stay back, stay back!
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos...\That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back! response:	The rescue specialist, Backdraft, is here, too!
context: In this world swirling with chaos...\That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too! response:	But man, turning into a monster's an amazing Quirk.
context: That profession is...\Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk. response:	What did he do?
context: Oh, it's Death Arms!\He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do? response:	He stole someone's bag and went out of control when he was cornered.
context: He carries out justice through his great physical strength\The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered. response:	A Quirk like that, and he's a bag snatcher?
context: The Punching Hero!\Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher? response:	I'm sorry, the train's...
context: Everyone, this is dangerous.\Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's... response:	Yes, I don't know what time I will make it into work...
context: Stay back, stay back!\The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work... response:	You can do it, Kamui!
context: The rescue specialist, Backdraft, is here, too!\But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui! response:	Get away!
context: But man, turning into a monster's an amazing Quirk.\What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away! response:	Who's fighting?
context: What did he do?\He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away!\Who's fighting? response:	Kamui Woods!
context: He stole someone's bag and went out of control when he was cornered.\A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away!\Who's fighting?\Kamui Woods! response:	The young and talented rising star!
context: A Quirk like that, and he's a bag snatcher?\I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away!\Who's fighting?\Kamui Woods!\The young and talented rising star! response:	You were the one asking, but you gave a perfect commentary, kid.
context: I'm sorry, the train's...\Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away!\Who's fighting?\Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid. response:	You're a fanboy, aren't you?
context: Yes, I don't know what time I will make it into work...\You can do it, Kamui!\Get away!\Who's fighting?\Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you? response:	Uh, well...
context: You can do it, Kamui!\Get away!\Who's fighting?\Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well... response:	Illegal use of powers during rush hour and robbery resulting in bodily injury.
context: Get away!\Who's fighting?\Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury. response:	You are the incarnation of evil.
context: Who's fighting?\Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil. response:	Oh, here it comes!
context: Kamui Woods!\The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes! response:	Show us something flashy, Tree-Man!
context: The young and talented rising star!\You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man! response:	Pre-emptive...
context: You were the one asking, but you gave a perfect commentary, kid.\You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive... response:	Canyon Cannon!
context: You're a fanboy, aren't you?\Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon! response:	Huh?
context: Uh, well...\Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon!\Huh? response:	Here it is, here it is, here it is, here it is.
context: Illegal use of powers during rush hour and robbery resulting in bodily injury.\You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is. response:	Today is the day of my debut!
context: You are the incarnation of evil.\Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut! response:	My name is Mt. Lady.
context: Oh, here it comes!\Show us something flashy, Tree-Man!\Pre-emptive...\Canyon Cannon!\Huh?\Here it is, here it is, here it is, here it is.\Today is the day of my debut!\My name is Mt. Lady. response:	A pleasure to make your ass-quaintance.
