context: Wind Selection? response:	Yeah. I got it in a dungeon,
context: Wind Selection?\Yeah. I got it in a dungeon, response:	but you have more of a knack for the wind attribute.
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute. response:	Well... thanks.
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks. response:	Emma Brightness
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness response:	Skills Skills Skills Skills Skills
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills response:	hhhhhhhhhhhhnew! new!
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new! response:	You gained two new skills!
context: Wind Selection?\Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills! response:	You're right.
context: Yeah. I got it in a dungeon,\but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right. response:	I can feel power flowing through me.
context: but you have more of a knack for the wind attribute.\Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right.\I can feel power flowing through me. response:	Run Like the Wind!
context: Well... thanks.\Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right.\I can feel power flowing through me.\Run Like the Wind! response:	Wind Slash!
context: Emma Brightness\Skills Skills Skills Skills Skills\hhhhhhhhhhhhnew! new!\You gained two new skills!\You're right.\I can feel power flowing through me.\Run Like the Wind!\Wind Slash! response:	That was great. Looks like you'll get the hang of them in no time.
