context: Work! Work! response:	Let's see...
context: Work! Work!\Let's see... response:	Natsu! How about this one?
context: Work! Work!\Let's see...\Natsu! How about this one? response:	Whoever catches the fugitive, Velveno,
context: Work! Work!\Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno, response:	shall receive 4,000,000 jewel!
context: Work! Work!\Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel! response:	That's great! I'm broke right now, so that totally fits the bill!
context: Work! Work!\Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill! response:	It's settled!
context: Work! Work!\Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled! response:	It's not just up to you to decide!
context: Work! Work!\Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide! response:	Well, we need the dough, too, so why not?
context: Let's see...\Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not? response:	This Velveno is an escaped convict
context: Natsu! How about this one?\Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict response:	that Gray set out to catch a long time ago, isn't he?
context: Whoever catches the fugitive, Velveno,\shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he? response:	Although if I recall right, the reward at the time was 400,000 jewel!
context: shall receive 4,000,000 jewel!\That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel! response:	He must've gotten valuable these past seven years...
context: That's great! I'm broke right now, so that totally fits the bill!\It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years... response:	Who's the client?
context: It's settled!\It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client? response:	Um... It says Count Balsamico...
context: It's not just up to you to decide!\Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico... response:	That's a sour name!
context: Well, we need the dough, too, so why not?\This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico...\That's a sour name! response:	Like balsamic vinegar!
context: This Velveno is an escaped convict\that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar! response:	Balsamico?
context: that Gray set out to catch a long time ago, isn't he?\Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar!\Balsamico? response:	Hey, I heard that Velveno guy is gonna show up
context: Although if I recall right, the reward at the time was 400,000 jewel!\He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up response:	at the Balsamico family's magical ball.
context: He must've gotten valuable these past seven years...\Who's the client?\Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball. response:	Magical ball?
context: Who's the client?\Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball? response:	It's a ball that's held once every seven years and only wizards can attend.
context: Um... It says Count Balsamico...\That's a sour name!\Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend. response:	I believe it's next Saturday.
context: That's a sour name!\Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday. response:	Then let's go to the ball and capture Velveno!
context: Like balsamic vinegar!\Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno! response:	Yeah! I'm gettin' fired up!
context: Balsamico?\Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up! response:	Let's head out!
context: Hey, I heard that Velveno guy is gonna show up\at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out! response:	Yeah!
context: at the Balsamico family's magical ball.\Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out!\Yeah! response:	Wait a sec!
context: Magical ball?\It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out!\Yeah!\Wait a sec! response:	If you're gonna participate in a ball, you'll have to practice dancing!
context: It's a ball that's held once every seven years and only wizards can attend.\I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out!\Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing! response:	Dance?!
context: I believe it's next Saturday.\Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out!\Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?! response:	Magical Ball!
context: Then let's go to the ball and capture Velveno!\Yeah! I'm gettin' fired up!\Let's head out!\Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball! response:	We'll start with the basic steps.
context: Yeah! I'm gettin' fired up!\Let's head out!\Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball!\We'll start with the basic steps. response:	Okay, hold my hands.
context: Let's head out!\Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball!\We'll start with the basic steps.\Okay, hold my hands. response:	Jeez, this is a pain in the ass...
context: Yeah!\Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball!\We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass... response:	What are Natsu-nii and Lucy-nee trying to do?
context: Wait a sec!\If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball!\We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do? response:	Social dancing!
context: If you're gonna participate in a ball, you'll have to practice dancing!\Dance?!\Magical Ball!\We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing! response:	Social dancing? What's that?
context: Dance?!\Magical Ball!\We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that? response:	Ow!
context: Magical Ball!\We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that?\Ow! response:	Sorry'bout that!
context: We'll start with the basic steps.\Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that?\Ow!\Sorry'bout that! response:	So it's a game where you step on each other's feet...
context: Okay, hold my hands.\Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that?\Ow!\Sorry'bout that!\So it's a game where you step on each other's feet... response:	I don't think that's the aim...
context: Jeez, this is a pain in the ass...\What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that?\Ow!\Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim... response:	Social dancing is where a man and woman pair up and dance at a ball.
context: What are Natsu-nii and Lucy-nee trying to do?\Social dancing!\Social dancing? What's that?\Ow!\Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball. response:	Huh...
context: Social dancing!\Social dancing? What's that?\Ow!\Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh... response:	That looks like a fun game!
context: Social dancing? What's that?\Ow!\Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game! response:	It's not a game!
context: Ow!\Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game!\It's not a game! response:	Let me do it, too!
context: Sorry'bout that!\So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game!\It's not a game!\Let me do it, too! response:	You just disqualified yourself!
context: So it's a game where you step on each other's feet...\I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game!\It's not a game!\Let me do it, too!\You just disqualified yourself! response:	Gray-sama is going to dance flirtatiously behind Juvia's back...?
context: I don't think that's the aim...\Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game!\It's not a game!\Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...? response:	If it means being able to dance with Gray-sama, Juvia will strip, too!
context: Social dancing is where a man and woman pair up and dance at a ball.\Huh...\That looks like a fun game!\It's not a game!\Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too! response:	I was once known as the Dancing Demon,
context: Huh...\That looks like a fun game!\It's not a game!\Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon, response:	so if you want to learn social dancing, leave it to me.
context: That looks like a fun game!\It's not a game!\Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me. response:	Erza!
context: It's not a game!\Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza! response:	Requip!
context: Let me do it, too!\You just disqualified yourself!\Gray-sama is going to dance flirtatiously behind Juvia's back...?\If it means being able to dance with Gray-sama, Juvia will strip, too!\I was once known as the Dancing Demon,\so if you want to learn social dancing, leave it to me.\Erza!\Requip! response:	All right, Natsu! Let's go!
