context: What happened...? response:	Pu-Re-Mi-A-Mu...
context: What happened...?\Pu-Re-Mi-A-Mu... response:	Chiyo-Ko-Re... To.
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To. response:	Woah! You actually read it!
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it! response:	That was amazing, Naru!
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru! response:	Mandom.
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru!\Mandom. response:	Mandom?
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru!\Mandom.\Mandom? response:	By mastering the katakana syllables we were supposed to learn after summer vacation,
context: What happened...?\Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru!\Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation, response:	I've become a little more adult.
context: Pu-Re-Mi-A-Mu...\Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru!\Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult. response:	Everything appears beautiful to me.
context: Chiyo-Ko-Re... To.\Woah! You actually read it!\That was amazing, Naru!\Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me. response:	Congratulations! Congratulations!
context: Woah! You actually read it!\That was amazing, Naru!\Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations! response:	Is this what it means to grow up?
context: That was amazing, Naru!\Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up? response:	I sense the world's blessings upon my newly-attained self.
context: Mandom.\Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self. response:	Mandom.
context: Mandom?\By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom. response:	Where did she pick that up?
context: By mastering the katakana syllables we were supposed to learn after summer vacation,\I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up? response:	Okay, let's try one a mite harder.
context: I've become a little more adult.\Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up?\Okay, let's try one a mite harder. response:	Goto Milk
context: Everything appears beautiful to me.\Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk response:	Here! Can you read the arrow?
context: Congratulations! Congratulations!\Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow? response:	Akekuchi (Open Here)
context: Is this what it means to grow up?\I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here) response:	It says, A-Ke...Ro.
context: I sense the world's blessings upon my newly-attained self.\Mandom.\Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro. response:	Woah, yer amazing, Naru!
context: Mandom.\Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru! response:	You don't learn that kana'til third term... or even second grade!
context: Where did she pick that up?\Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade! response:	Since you read it right, this milk's yer prize.
context: Okay, let's try one a mite harder.\Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize. response:	Thank you.
context: Goto Milk\Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you. response:	Go show everyone how you can read that kana!
context: Here! Can you read the arrow?\Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana! response:	Children really do grow up fast.
context: Akekuchi (Open Here)\It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast. response:	But I never thought she was that into studying.
context: It says, A-Ke...Ro.\Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying. response:	What suddenly motivated her?
context: Woah, yer amazing, Naru!\You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her? response:	Three guesses, first two don't count.
context: You don't learn that kana'til third term... or even second grade!\Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count. response:	Oh, right...
context: Since you read it right, this milk's yer prize.\Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count.\Oh, right... response:	What...
context: Thank you.\Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count.\Oh, right...\What... response:	Sensei, can you read this?
context: Go show everyone how you can read that kana!\Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count.\Oh, right...\What...\Sensei, can you read this? response:	Mimei Market
context: Children really do grow up fast.\But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count.\Oh, right...\What...\Sensei, can you read this?\Mimei Market response:	It says, akekuchi.
context: But I never thought she was that into studying.\What suddenly motivated her?\Three guesses, first two don't count.\Oh, right...\What...\Sensei, can you read this?\Mimei Market\It says, akekuchi. response:	Barakamon
context: What suddenly motivated her?\Three guesses, first two don't count.\Oh, right...\What...\Sensei, can you read this?\Mimei Market\It says, akekuchi.\Barakamon response:	Hitonmochi
context: Three guesses, first two don't count.\Oh, right...\What...\Sensei, can you read this?\Mimei Market\It says, akekuchi.\Barakamon\Hitonmochi response:	Translation: Mochi Thrown in Celebration
context: Oh, right...\What...\Sensei, can you read this?\Mimei Market\It says, akekuchi.\Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration response:	Yeah, I just mailed it off.
context: What...\Sensei, can you read this?\Mimei Market\It says, akekuchi.\Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off. response:	Submit it to the Tokyo Kasho Exhibition.
context: Sensei, can you read this?\Mimei Market\It says, akekuchi.\Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition. response:	Sure. Feeling confident?
context: Mimei Market\It says, akekuchi.\Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident? response:	This is my current self's calligraphy...
context: It says, akekuchi.\Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy... response:	Light-Hearted
context: Barakamon\Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted response:	I wouldn't send it if I wasn't confident.
context: Hitonmochi\Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident. response:	Can't wait to see it.
context: Translation: Mochi Thrown in Celebration\Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it. response:	Oh, right.
context: Yeah, I just mailed it off.\Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right. response:	I'm all out of ink.
context: Submit it to the Tokyo Kasho Exhibition.\Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right.\I'm all out of ink. response:	Hiro?
context: Sure. Feeling confident?\This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right.\I'm all out of ink.\Hiro? response:	Where can I buy ink?
context: This is my current self's calligraphy...\Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right.\I'm all out of ink.\Hiro?\Where can I buy ink? response:	Kinoshita General Store?
context: Light-Hearted\I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right.\I'm all out of ink.\Hiro?\Where can I buy ink?\Kinoshita General Store? response:	Good t'see ya...
context: I wouldn't send it if I wasn't confident.\Can't wait to see it.\Oh, right.\I'm all out of ink.\Hiro?\Where can I buy ink?\Kinoshita General Store?\Good t'see ya... response:	Thanks for helping me move in.
context: Can't wait to see it.\Oh, right.\I'm all out of ink.\Hiro?\Where can I buy ink?\Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in. response:	Take yer time lookin'!
context: Oh, right.\I'm all out of ink.\Hiro?\Where can I buy ink?\Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'! response:	There's just about everything here.
context: I'm all out of ink.\Hiro?\Where can I buy ink?\Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here. response:	Cheap candy... They never let me eat any as a kid, since it was bad for me.
context: Hiro?\Where can I buy ink?\Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me. response:	With Naru coming over to play, I should have some on hand.
context: Where can I buy ink?\Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand. response:	Naru likes Kanro hard candy and Choco-Bats.
context: Kinoshita General Store?\Good t'see ya...\Thanks for helping me move in.\Take yer time lookin'!\There's just about everything here.\Cheap candy... They never let me eat any as a kid, since it was bad for me.\With Naru coming over to play, I should have some on hand.\Naru likes Kanro hard candy and Choco-Bats. response:	Is she psychic!?
